season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2015,1,Alabama,SEC,2542.6,14,1,15,0.933,14-1,Clemson,2409.4,1808.2,2026-05-20T21:48:23Z,24965.1
2015,2,Clemson,ACC,2409.4,14,1,15,0.933,14-1,Oklahoma,2208.9,1617.4,2026-05-20T21:48:23Z,21718.4
2015,3,OSU,NA,2375,12,1,13,0.923,12-1,Michigan,2137.6,1617,2026-05-20T21:48:23Z,18751
2015,4,Michigan State,NA,2269.9,12,2,14,0.857,12-2,OSU,2375,1751,2026-05-20T21:48:23Z,20282.8
2015,5,Stanford,ACC,2250.5,12,2,14,0.857,12-2,Notre Dame,2134.5,1689.2,2026-05-20T21:48:23Z,19758
2015,6,Houston,Big 12,2241.8,13,1,14,0.929,13-1,FSU,2018.2,1343.8,2026-05-20T21:48:23Z,17379.6
2015,7,Oklahoma,Big 12,2208.9,11,2,13,0.846,11-2,TCU,2113,1708.4,2026-05-20T21:48:23Z,18171.4
2015,8,Ole Miss,SEC,2157.5,10,3,13,0.769,10-3,Alabama,2542.6,1682.2,2026-05-20T21:48:23Z,16218.5
2015,9,Michigan,Big Ten,2137.6,10,3,13,0.769,10-3,Florida,1946.3,1686.4,2026-05-20T21:48:23Z,15369
2015,10,Notre Dame,ACC,2134.5,10,3,13,0.769,10-3,Navy,2008.6,1691.7,2026-05-20T21:48:23Z,14957.3
2015,11,TCU,Big 12,2113,11,2,13,0.846,11-2,Baylor,2008.2,1528.1,2026-05-20T21:48:23Z,15694.1
2015,12,Tennessee,SEC,2077.8,9,4,13,0.692,9-4,Georgia,1937.8,1658.3,2026-05-20T21:48:23Z,12876.3
2015,13,Iowa,Big Ten,2075.7,12,2,14,0.857,12-2,Northwestern,1916.2,1537.4,2026-05-20T21:48:23Z,17002.8
2015,14,LSU,SEC,2034,9,3,12,0.75,9-3,Florida,1946.3,1759.8,2026-05-20T21:48:23Z,14432.7
2015,15,FSU,NA,2018.2,10,3,13,0.769,10-3,Florida,1946.3,1470.4,2026-05-20T21:48:23Z,13167.3
