season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2015,1,Toronto Blue Jays,AL East,1622.6,93,69,162,0.574,93-69,Cleveland Indians,1602.3,1528.1,2026-05-20T21:30:28Z
2015,2,Chicago Cubs,NL Central,1614.1,97,65,162,0.599,97-65,Cleveland Indians,1602.3,1461.6,2026-05-20T21:30:28Z
2015,3,Cleveland Indians,AL Central,1602.3,81,80,161,0.503,81-80,Toronto Blue Jays,1622.6,1512.8,2026-05-20T21:30:28Z
2015,4,Texas Rangers,AL West,1597.4,88,74,162,0.543,88-74,Toronto Blue Jays,1622.6,1510,2026-05-20T21:30:28Z
2015,5,Boston Red Sox,AL East,1586.9,78,84,162,0.481,78-84,Toronto Blue Jays,1622.6,1532.3,2026-05-20T21:30:28Z
2015,6,Tampa Bay Rays,AL East,1574.2,80,82,162,0.494,80-82,Toronto Blue Jays,1622.6,1534.6,2026-05-20T21:30:28Z
2015,7,Baltimore Orioles,AL East,1566.3,81,81,162,0.5,81-81,Toronto Blue Jays,1622.6,1535.7,2026-05-20T21:30:28Z
2015,8,Kansas City Royals,AL Central,1564.3,95,68,163,0.583,95-68,Toronto Blue Jays,1622.6,1519.2,2026-05-20T21:30:28Z
2015,9,Pittsburgh Pirates,NL Central,1562.7,98,64,162,0.605,98-64,Chicago Cubs,1614.1,1466.4,2026-05-20T21:30:28Z
2015,10,Houston Astros,AL West,1554,86,76,162,0.531,86-76,Toronto Blue Jays,1622.6,1517.2,2026-05-20T21:30:28Z
2015,11,Minnesota Twins,AL Central,1518.7,83,79,162,0.512,83-79,Toronto Blue Jays,1622.6,1523.8,2026-05-20T21:30:28Z
2015,12,New York Yankees,AL East,1517.8,87,75,162,0.537,87-75,Toronto Blue Jays,1622.6,1541.5,2026-05-20T21:30:28Z
2015,13,Los Angeles Angels,AL West,1516.1,85,77,162,0.525,85-77,Toronto Blue Jays,1622.6,1521.4,2026-05-20T21:30:28Z
2015,14,Los Angeles Dodgers,NL West,1515.7,92,71,163,0.564,92-71,Chicago Cubs,1614.1,1464.3,2026-05-20T21:30:28Z
2015,15,Seattle Mariners,AL West,1492.6,76,86,162,0.469,76-86,Toronto Blue Jays,1622.6,1522.5,2026-05-20T21:30:28Z
2015,16,St. Louis Cardinals,NL Central,1487.8,100,63,163,0.613,100-63,Chicago Cubs,1614.1,1477.1,2026-05-20T21:30:28Z
2015,17,Arizona Diamondbacks,NL West,1487.3,79,83,162,0.488,79-83,Chicago Cubs,1614.1,1468.1,2026-05-20T21:30:28Z
2015,18,New York Mets,NL East,1484.2,91,72,163,0.558,91-72,Toronto Blue Jays,1622.6,1466.2,2026-05-20T21:30:28Z
2015,19,San Francisco Giants,NL West,1476.5,84,78,162,0.519,84-78,Chicago Cubs,1614.1,1467.3,2026-05-20T21:30:28Z
2015,20,Washington Nationals,NL East,1474.5,84,79,163,0.515,84-79,Toronto Blue Jays,1622.6,1468.9,2026-05-20T21:30:28Z
2015,21,Colorado Rockies,NL West,1459.1,68,94,162,0.42,68-94,Chicago Cubs,1614.1,1470.8,2026-05-20T21:30:28Z
2015,22,Chicago White Sox,AL Central,1458,77,86,163,0.472,77-86,Toronto Blue Jays,1622.6,1534.3,2026-05-20T21:30:28Z
2015,23,Detroit Tigers,AL Central,1448.7,74,87,161,0.46,74-87,Toronto Blue Jays,1622.6,1533.9,2026-05-20T21:30:28Z
2015,24,Miami Marlins,NL East,1441.5,71,91,162,0.438,71-91,Chicago Cubs,1614.1,1471.3,2026-05-20T21:30:28Z
2015,25,Philadelphia Phillies,NL East,1433,63,99,162,0.389,63-99,Toronto Blue Jays,1622.6,1475.2,2026-05-20T21:30:28Z
2015,26,Milwaukee Brewers,NL Central,1425.4,68,94,162,0.42,68-94,Chicago Cubs,1614.1,1485,2026-05-20T21:30:28Z
2015,27,Oakland Athletics,AL West,1411.8,68,94,162,0.42,68-94,Toronto Blue Jays,1622.6,1532.8,2026-05-20T21:30:28Z
2015,28,Atlanta Braves,NL East,1381.2,67,95,162,0.414,67-95,Toronto Blue Jays,1622.6,1479.5,2026-05-20T21:30:28Z
2015,29,San Diego Padres,NL West,1379.1,74,88,162,0.457,74-88,Chicago Cubs,1614.1,1481,2026-05-20T21:30:28Z
2015,30,Cincinnati Reds,NL Central,1346.1,65,99,164,0.396,65-99,Chicago Cubs,1614.1,1495.5,2026-05-20T21:30:28Z
