season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2022,1,Warriors,Pacific,1815.5,69,35,104,0.663,69-35,Suns,1714.1,1498.8,2026-05-20T21:46:03Z
2022,2,Suns,Pacific,1714.1,71,24,95,0.747,71-24,Warriors,1815.5,1475.4,2026-05-20T21:46:03Z
2022,3,Jazz,Northwest,1705.4,51,37,88,0.58,51-37,Warriors,1815.5,1490.1,2026-05-20T21:46:03Z
2022,4,Heat,Southeast,1647.7,64,36,100,0.64,64-36,Suns,1714.1,1499.5,2026-05-20T21:46:03Z
2022,5,Bulls,Central,1644.8,47,40,87,0.54,47-40,Jazz,1705.4,1494.8,2026-05-20T21:46:03Z
2022,6,Nuggets,Northwest,1570.1,49,38,87,0.563,49-38,Warriors,1815.5,1514.7,2026-05-20T21:46:03Z
2022,7,Wizards,Southeast,1565.3,35,47,82,0.427,35-47,Warriors,1815.5,1495.2,2026-05-20T21:46:03Z
2022,8,76ers,Atlantic,1561.5,57,37,94,0.606,57-37,Warriors,1815.5,1509.1,2026-05-20T21:46:03Z
2022,9,Nets,Atlantic,1558.5,45,42,87,0.517,45-42,Jazz,1705.4,1497.2,2026-05-20T21:46:03Z
2022,10,Cavaliers,Central,1554.3,44,40,84,0.524,44-40,Jazz,1705.4,1501.1,2026-05-20T21:46:03Z
2022,11,Hornets,Southeast,1547.2,43,40,83,0.518,43-40,Warriors,1815.5,1499.8,2026-05-20T21:46:03Z
2022,12,Grizzlies,Southwest,1544.4,62,32,94,0.66,62-32,Warriors,1815.5,1511.1,2026-05-20T21:46:03Z
2022,13,Bucks,Central,1539.2,58,36,94,0.617,58-36,Warriors,1815.5,1505.4,2026-05-20T21:46:03Z
2022,14,Clippers,Pacific,1533.3,42,42,84,0.5,42-42,Warriors,1815.5,1498.1,2026-05-20T21:46:03Z
2022,15,Raptors,Atlantic,1532.4,50,38,88,0.568,50-38,Warriors,1815.5,1509.4,2026-05-20T21:46:03Z
2022,16,Trail Blazers,Northwest,1517.9,27,55,82,0.329,27-55,Suns,1714.1,1497.4,2026-05-20T21:46:03Z
2022,17,Hawks,Southeast,1513.4,46,43,89,0.517,46-43,Warriors,1815.5,1511.5,2026-05-20T21:46:03Z
2022,18,Celtics,Atlantic,1500.9,65,41,106,0.613,65-41,Warriors,1815.5,1532.7,2026-05-20T21:46:03Z
2022,19,Mavericks,Southwest,1494.2,61,39,100,0.61,61-39,Warriors,1815.5,1539.7,2026-05-20T21:46:03Z
2022,20,Knicks,Atlantic,1492.8,37,45,82,0.451,37-45,Warriors,1815.5,1501.9,2026-05-20T21:46:03Z
2022,21,Pacers,Central,1461.3,25,57,82,0.305,25-57,Warriors,1815.5,1503.3,2026-05-20T21:46:03Z
2022,22,Lakers,Pacific,1458.1,33,49,82,0.402,33-49,Warriors,1815.5,1500.1,2026-05-20T21:46:03Z
2022,23,Kings,Pacific,1443.8,30,52,82,0.366,30-52,Suns,1714.1,1503,2026-05-20T21:46:03Z
2022,24,Timberwolves,Northwest,1433.7,49,40,89,0.551,49-40,Warriors,1815.5,1507.6,2026-05-20T21:46:03Z
2022,25,Spurs,Southwest,1377.1,34,49,83,0.41,34-49,Warriors,1815.5,1500.7,2026-05-20T21:46:03Z
2022,26,Thunder,Northwest,1308.8,24,58,82,0.293,24-58,Suns,1714.1,1505.9,2026-05-20T21:46:03Z
2022,27,Pelicans,Southwest,1284.3,40,50,90,0.444,40-50,Warriors,1815.5,1520.6,2026-05-20T21:46:03Z
2022,28,Rockets,Southwest,1248,20,62,82,0.244,20-62,Jazz,1705.4,1506.7,2026-05-20T21:46:03Z
2022,29,Magic,Southeast,1223,22,60,82,0.268,22-60,Warriors,1815.5,1514.2,2026-05-20T21:46:03Z
2022,30,Pistons,Central,1209.2,23,59,82,0.28,23-59,Jazz,1705.4,1514.4,2026-05-20T21:46:03Z
2022,31,Team LeBron,NA,286.5,1,0,1,1,1-0,Team Durant,88.5,88.5,2026-05-20T21:46:03Z
2022,32,Team Durant,NA,88.5,0,1,1,0,0-1,NA,NA,286.5,2026-05-20T21:46:03Z
