season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2009,1,Liverpool,Premier League,2020,25,2,27,0.926,25-2,Man United,1876.3,1461.1,2026-05-20T21:13:26Z,11,ENG
2009,2,Porto,Primeira Liga,1964.5,21,2,23,0.913,21-2,Sp Lisbon,1832.1,1439,2026-05-20T21:13:26Z,7,POR
2009,3,Rangers,Scottish Premiership,1896.9,26,4,30,0.867,26-4,Celtic,1831.7,1463,2026-05-20T21:13:26Z,8,SCO
2009,4,Barcelona,La Liga,1894.5,27,5,32,0.844,27-5,Sevilla,1643.8,1475.1,2026-05-20T21:13:26Z,6,ESP
2009,5,Man United,Premier League,1876.3,28,4,32,0.875,28-4,Chelsea,1849,1459.1,2026-05-20T21:13:26Z,6,ENG
2009,6,Chelsea,Premier League,1849,25,5,30,0.833,25-5,Arsenal,1714,1469.9,2026-05-20T21:13:26Z,8,ENG
2009,7,Parma,Serie B,1841.7,19,4,23,0.826,19-4,Bari,1734.3,1481.9,2026-05-20T21:13:26Z,19,ITA
2009,8,Anderlecht,Pro League,1840.4,24,5,29,0.828,24-5,Standard,1829.7,1478.4,2026-05-20T21:13:26Z,5,BEL
2009,9,AZ Alkmaar,Eredivisie,1838.6,25,4,29,0.862,25-4,Twente,1784.2,1460.5,2026-05-20T21:13:26Z,5,NED
2009,10,Inter,Serie A,1837.6,25,4,29,0.862,25-4,Juventus,1803.4,1465.8,2026-05-20T21:13:26Z,9,ITA
2009,11,Sp Lisbon,Primeira Liga,1832.1,20,4,24,0.833,20-4,Benfica,1720.4,1463.5,2026-05-20T21:13:26Z,6,POR
2009,12,Celtic,Scottish Premiership,1831.7,24,4,28,0.857,24-4,Rangers,1896.9,1474.1,2026-05-20T21:13:26Z,10,SCO
2009,13,Standard,Pro League,1829.7,24,5,29,0.828,24-5,Anderlecht,1840.4,1480,2026-05-20T21:13:26Z,5,BEL
2009,14,Juventus,Serie A,1803.4,21,6,27,0.778,21-6,Milan,1739.8,1489.1,2026-05-20T21:13:26Z,11,ITA
2009,15,Hercules,La Liga 2,1785.2,21,6,27,0.778,21-6,Zaragoza,1752.6,1453.9,2026-05-20T21:13:26Z,15,ESP
2009,16,Twente,Eredivisie,1784.2,20,5,25,0.8,20-5,AZ Alkmaar,1838.6,1471.8,2026-05-20T21:13:26Z,9,NED
2009,17,Bordeaux,Ligue 1,1780.6,24,6,30,0.8,24-6,Toulouse,1715.5,1479.1,2026-05-20T21:13:26Z,8,FRA
2009,18,Wolfsburg,2. Bundesliga,1777.3,21,7,28,0.75,21-7,Bayern Munich,1730,1483.9,2026-05-20T21:13:26Z,6,GER
2009,19,Marseille,Ligue 1,1760.5,22,5,27,0.815,22-5,Bordeaux,1780.6,1463.2,2026-05-20T21:13:26Z,11,FRA
2009,20,Besiktas,Süper Lig,1757.1,21,5,26,0.808,21-5,Galatasaray,1605.4,1448.4,2026-05-20T21:13:26Z,8,TUR
2009,21,Zaragoza,La Liga 2,1752.6,23,7,30,0.767,23-7,Tenerife,1745.5,1460.3,2026-05-20T21:13:26Z,12,ESP
2009,22,PSV Eindhoven,Eredivisie,1749.7,19,7,26,0.731,19-7,Ajax,1650.8,1455.8,2026-05-20T21:13:26Z,8,NED
2009,23,Tenerife,La Liga 2,1745.5,24,9,33,0.727,24-9,Hercules,1785.2,1481.9,2026-05-20T21:13:26Z,9,ESP
2009,24,Milan,Serie A,1739.8,22,8,30,0.733,22-8,Inter,1837.6,1493.5,2026-05-20T21:13:26Z,8,ITA
2009,25,Xerez,La Liga 2,1736.2,24,8,32,0.75,24-8,Hercules,1785.2,1476.6,2026-05-20T21:13:26Z,10,ESP
2009,26,Bari,Serie B,1734.3,22,6,28,0.786,22-6,Sassuolo,1517.3,1460.5,2026-05-20T21:13:26Z,14,ITA
2009,27,Bayern Munich,2. Bundesliga,1730,20,7,27,0.741,20-7,Wolfsburg,1777.3,1473.4,2026-05-20T21:13:26Z,7,GER
2009,28,Benfica,Primeira Liga,1720.4,17,5,22,0.773,17-5,Sp Lisbon,1832.1,1474.3,2026-05-20T21:13:26Z,8,POR
2009,29,Toulouse,Ligue 1,1715.5,16,6,22,0.727,16-6,Bordeaux,1780.6,1460.2,2026-05-20T21:13:26Z,16,FRA
2009,30,Arsenal,Premier League,1714,20,6,26,0.769,20-6,Man United,1876.3,1448,2026-05-20T21:13:26Z,12,ENG
2009,31,Dortmund,2. Bundesliga,1711.5,15,5,20,0.75,15-5,Stuttgart,1697.4,1484.4,2026-05-20T21:13:26Z,14,GER
2009,32,Sivasspor,Süper Lig,1703,19,6,25,0.76,19-6,Fenerbahce,1685.7,1457.9,2026-05-20T21:13:26Z,9,TUR
2009,33,Sheffield United,Championship,1701.3,22,10,32,0.688,22-10,Birmingham,1678.4,1494.4,2026-05-20T21:13:26Z,14,ENG
2009,34,Stuttgart,2. Bundesliga,1697.4,19,8,27,0.704,19-8,Wolfsburg,1777.3,1499.8,2026-05-20T21:13:26Z,7,GER
2009,35,Fenerbahce,Süper Lig,1685.7,18,9,27,0.667,18-9,Besiktas,1757.1,1489.2,2026-05-20T21:13:26Z,7,TUR
2009,36,Birmingham,Championship,1678.4,23,9,32,0.719,23-9,Sheffield United,1701.3,1500.5,2026-05-20T21:13:26Z,14,ENG
2009,37,Gent,Pro League,1675.5,17,9,26,0.654,17-9,Waregem,1620.9,1483.6,2026-05-20T21:13:26Z,8,BEL
2009,38,Livorno,Serie B,1672.7,16,6,22,0.727,16-6,Brescia,1576.4,1463.1,2026-05-20T21:13:26Z,20,ITA
2009,39,Reading,Championship,1670.7,21,11,32,0.656,21-11,Sheffield United,1701.3,1511.2,2026-05-20T21:13:26Z,14,ENG
2009,40,Sp Braga,Primeira Liga,1669.9,13,6,19,0.684,13-6,Sp Lisbon,1832.1,1497.6,2026-05-20T21:13:26Z,11,POR
2009,41,Lyon,Ligue 1,1668.9,20,7,27,0.741,20-7,Bordeaux,1780.6,1468.6,2026-05-20T21:13:26Z,11,FRA
2009,42,Wolves,Championship,1659.1,27,10,37,0.73,27-10,Sheffield United,1701.3,1489.4,2026-05-20T21:13:26Z,9,ENG
2009,43,Montpellier,Ligue 2,1652.2,19,10,29,0.655,19-10,Boulogne,1599.3,1483.4,2026-05-20T21:13:26Z,9,FRA
2009,44,Ajax,Eredivisie,1650.8,21,8,29,0.724,21-8,Twente,1784.2,1488.1,2026-05-20T21:13:26Z,5,NED
