season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2011,1,Ohio State,Big Ten Conference,2099.8,34,3,37,0.919,34-3,Florida,1916.7,1618.1,NA,2026-06-04T06:05:33Z
2011,2,Kansas,Big 12 Conference,2064.4,35,3,38,0.921,35-3,Texas,1953.4,1675,NA,2026-06-04T06:05:33Z
2011,3,Duke,Atlantic Coast Conference,2023.1,32,5,37,0.865,32-5,North Carolina,1826.2,1641.3,NA,2026-06-04T06:05:33Z
2011,4,BYU,Mountain West Conference,1999.1,32,5,37,0.865,32-5,San Diego St,1981.1,1617.5,NA,2026-06-04T06:05:33Z
2011,5,Pitt,Big East Conference,1981.4,28,6,34,0.824,28-6,Texas,1953.4,1657.3,NA,2026-06-04T06:05:33Z
2011,6,San Diego St,Mountain West Conference,1981.1,34,3,37,0.919,34-3,BYU,1999.1,1629.4,NA,2026-06-04T06:05:33Z
2011,7,Texas,Big 12 Conference,1953.4,28,8,36,0.778,28-8,Kansas,2064.4,1669,NA,2026-06-04T06:05:33Z
2011,8,Kentucky,Southeastern Conference,1945.2,29,9,38,0.763,29-9,Ohio State,2099.8,1682.1,NA,2026-06-04T06:05:33Z
2011,9,Florida,Southeastern Conference,1916.7,29,8,37,0.784,29-8,BYU,1999.1,1687.8,NA,2026-06-04T06:05:33Z
2011,10,UConn,Big East Conference,1909.9,32,9,41,0.78,32-9,Pitt,1981.4,1718.4,NA,2026-06-04T06:05:33Z
2011,11,Syracuse,Big East Conference,1903.1,27,8,35,0.771,27-8,UConn,1909.9,1641.5,NA,2026-06-04T06:05:33Z
2011,12,Purdue,Big Ten Conference,1899.5,26,8,34,0.765,26-8,Ohio State,2099.8,1660.3,NA,2026-06-04T06:05:33Z
2011,13,Wisconsin,Big Ten Conference,1872.1,25,9,34,0.735,25-9,Ohio State,2099.8,1662.1,NA,2026-06-04T06:05:33Z
2011,14,Notre Dame,Big East Conference,1861.9,27,7,34,0.794,27-7,Pitt,1981.4,1690.8,NA,2026-06-04T06:05:33Z
