season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2014,1,Florida,Southeastern Conference,2520.7,36,3,39,0.923,36-3,Kansas,2329.4,1893.5,2026-05-21T00:59:23Z
2014,2,Wichita St,Missouri Valley Conference,2505.5,35,1,36,0.972,35-1,Saint Louis,2161.3,1663.6,2026-05-21T00:59:23Z
2014,3,Arizona,Pac-12 Conference,2497.4,33,5,38,0.868,33-5,San Diego St,2262.9,1920.4,2026-05-21T00:59:23Z
2014,4,Syracuse,Atlantic Coast Conference,2392.2,28,6,34,0.824,28-6,Villanova,2327.5,1850.6,2026-05-21T00:59:23Z
2014,5,Wisconsin,Big Ten Conference,2370.6,30,8,38,0.789,30-8,Florida,2520.7,1962.7,2026-05-21T00:59:23Z
2014,6,Kansas,Big 12 Conference,2329.4,25,10,35,0.714,25-10,Duke,2262.4,2021.7,2026-05-21T00:59:23Z
2014,7,Villanova,Big East Conference,2327.5,29,5,34,0.853,29-5,Kansas,2329.4,1869.9,2026-05-21T00:59:23Z
2014,8,Michigan St,Big Ten Conference,2293.7,29,9,38,0.763,29-9,Wisconsin,2370.6,1931.7,2026-05-21T00:59:23Z
2014,9,San Diego St,Mountain West Conference,2262.9,31,5,36,0.861,31-5,Kansas,2329.4,1727.2,2026-05-21T00:59:23Z
2014,10,Duke,Atlantic Coast Conference,2262.4,26,9,35,0.743,26-9,Syracuse,2392.2,1916.4,2026-05-21T00:59:23Z
2014,11,Pitt,Atlantic Coast Conference,2257.5,26,10,36,0.722,26-10,North Carolina,2178.3,1882,2026-05-21T00:59:23Z
2014,12,Louisville,American Athletic Conference,2252,31,6,37,0.838,31-6,Cincinnati,2206.8,1766.7,2026-05-21T00:59:23Z
2014,13,Iowa State,Big 12 Conference,2247.7,28,8,36,0.778,28-8,Kansas,2329.4,1941.6,2026-05-21T00:59:23Z
2014,14,Creighton,Big East Conference,2242.2,27,8,35,0.771,27-8,Villanova,2327.5,1872.5,2026-05-21T00:59:23Z
2014,15,Ohio State,Big Ten Conference,2227.5,25,10,35,0.714,25-10,Wisconsin,2370.6,1882.2,2026-05-21T00:59:23Z
2014,16,Virginia,Atlantic Coast Conference,2222.3,30,7,37,0.811,30-7,Syracuse,2392.2,1885.1,2026-05-21T00:59:23Z
2014,17,Michigan,Big Ten Conference,2213.5,28,9,37,0.757,28-9,Wisconsin,2370.6,1940,2026-05-21T00:59:23Z
2014,18,Cincinnati,American Athletic Conference,2206.8,27,7,34,0.794,27-7,Pitt,2257.5,1778,2026-05-21T00:59:23Z
