season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2017,1,Gonzaga,West Coast Conference,2571.9,37,2,39,0.949,37-2,Arizona,2404.1,1747.3,NA,2026-08-29T13:09:25Z,2571.9,2026-08-26,0
2017,2,Villanova,Big East Conference,2482.5,32,4,36,0.889,32-4,Creighton,2292,1920.7,NA,2026-08-29T13:09:25Z,2482.5,2026-08-26,0
2017,3,Kansas,Big 12 Conference,2429.1,31,5,36,0.861,31-5,Baylor,2419.2,1987.9,NA,2026-08-29T13:09:25Z,2429.1,2026-08-26,0
2017,4,Baylor,Big 12 Conference,2419.2,27,8,35,0.771,27-8,West Virginia,2372.3,1949.4,NA,2026-08-29T13:09:25Z,2419.2,2026-08-26,0
2017,5,UCLA,Pac-12 Conference,2413.2,31,5,36,0.861,31-5,Arizona,2404.1,1828.6,NA,2026-08-29T13:09:25Z,2413.2,2026-08-26,0
2017,6,Arizona,Pac-12 Conference,2404.1,32,5,37,0.865,32-5,UCLA,2413.2,1880.4,NA,2026-08-29T13:09:25Z,2404.1,2026-08-26,0
2017,7,Kentucky,Southeastern Conference,2396.8,32,6,38,0.842,32-6,UCLA,2413.2,1946.1,NA,2026-08-29T13:09:25Z,2396.8,2026-08-26,0
2017,8,West Virginia,Big 12 Conference,2372.3,28,9,37,0.757,28-9,Kansas,2429.1,1913.6,NA,2026-08-29T13:09:25Z,2372.3,2026-08-26,0
2017,9,Butler,Big East Conference,2357.3,25,9,34,0.735,25-9,Villanova,2482.5,1960,NA,2026-08-29T13:09:25Z,2357.3,2026-08-26,0
2017,10,Oregon,Pac-12 Conference,2356.6,33,6,39,0.846,33-6,Kansas,2429.1,1850.4,NA,2026-08-29T13:09:25Z,2356.6,2026-08-26,0
2017,11,North Carolina,Atlantic Coast Conference,2352.2,33,7,40,0.825,33-7,Gonzaga,2571.9,1985.4,NA,2026-08-29T13:09:25Z,2352.2,2026-08-26,0
2017,12,Florida,Southeastern Conference,2320.1,27,9,36,0.75,27-9,Kentucky,2396.8,1972,NA,2026-08-29T13:09:25Z,2320.1,2026-08-26,0
2017,13,Louisville,Atlantic Coast Conference,2317.6,25,9,34,0.735,25-9,Kentucky,2396.8,1976.3,NA,2026-08-29T13:09:25Z,2317.6,2026-08-26,0
2017,14,Florida St,Atlantic Coast Conference,2314.3,26,9,35,0.743,26-9,Florida,2320.1,1933.5,NA,2026-08-29T13:09:25Z,2314.3,2026-08-26,0
