season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,resume_score
2009,1,Alabama,SEC,2645.4,14,0,14,1,14-0,Florida,2397.8,1718.5,2026-05-21T03:43:14Z,24058.8
2009,2,Florida,SEC,2397.8,13,1,14,0.929,13-1,Cincinnati,2142.2,1755,2026-05-21T03:43:14Z,21924.9
2009,3,Boise St,Mountain West,2387.4,13,0,13,1,13-0,TCU,2226.3,1344.6,2026-05-21T03:43:14Z,17480
2009,4,Texas,Big 12,2283.7,13,1,14,0.929,13-1,Nebraska,1998,1675.5,2026-05-21T03:43:14Z,20811.8
2009,5,TCU,Big 12,2226.3,12,1,13,0.923,12-1,BYU,1985.4,1547.9,2026-05-21T03:43:14Z,17734.8
2009,6,Ohio State,Big Ten,2186.4,11,2,13,0.846,11-2,Iowa,2128.1,1619.4,2026-05-21T03:43:14Z,17644.8
2009,7,Cincinnati,AAC,2142.2,11,1,12,0.917,11-1,Pitt,2005.9,1605.3,2026-05-21T03:43:14Z,16865.4
2009,8,Iowa,Big Ten,2128.1,11,2,13,0.846,11-2,Penn State,2025.9,1656.5,2026-05-21T03:43:14Z,17673.4
2009,9,Virginia Tech,ACC,2088.5,10,3,13,0.769,10-3,Nebraska,1998,1749.7,2026-05-21T03:43:14Z,16238.1
2009,10,Oregon,NA,2040.7,10,3,13,0.769,10-3,Utah,1877.2,1760.3,2026-05-21T03:43:14Z,16433.7
2009,11,LSU,SEC,2035,9,4,13,0.692,9-4,Arkansas,1963,1756.8,2026-05-21T03:43:14Z,13857.9
2009,12,Penn State,Big Ten,2025.9,11,2,13,0.846,11-2,LSU,2035,1602.7,2026-05-21T03:43:14Z,16521.1
2009,13,Pitt,ACC,2005.9,10,3,13,0.769,10-3,UConn,1892.3,1642.8,2026-05-21T03:43:14Z,15949.7
2009,14,Georgia Tech,ACC,1998.6,11,3,14,0.786,11-3,Virginia Tech,2088.5,1726,2026-05-21T03:43:14Z,18284.4
2009,15,Nebraska,Big Ten,1998,10,4,14,0.714,10-4,Oklahoma,1948.9,1620.5,2026-05-21T03:43:14Z,14831.6
2009,16,BYU,Mountain West,1985.4,11,2,13,0.846,11-2,Oklahoma,1948.9,1520.9,2026-05-21T03:43:14Z,15687
2009,17,Arkansas,SEC,1963,8,5,13,0.615,8-5,Auburn,1837.2,1751.5,2026-05-21T03:43:14Z,11911.3
2009,18,Oklahoma,Big 12,1948.9,8,5,13,0.615,8-5,Stanford,1875.8,1672.8,2026-05-21T03:43:14Z,11655.6
2009,19,Texas Tech,Big 12,1940.7,9,4,13,0.692,9-4,Nebraska,1998,1505.3,2026-05-21T03:43:14Z,12238.4
2009,20,Wisconsin,Big Ten,1939.3,10,3,13,0.769,10-3,Miami,1883.4,1586.9,2026-05-21T03:43:14Z,14640.3
2009,21,Ole Miss,SEC,1911.7,8,4,12,0.667,8-4,LSU,2035,1668.8,2026-05-21T03:43:14Z,11988
2009,22,UConn,Big East,1892.3,8,5,13,0.615,8-5,South Carolina,1766.6,1652.4,2026-05-21T03:43:14Z,11815
2009,23,Miami,ACC,1883.4,8,4,12,0.667,8-4,Georgia Tech,1998.6,1650.1,2026-05-21T03:43:14Z,12027.5
2009,24,Clemson,ACC,1882.1,9,5,14,0.643,9-5,Miami,1883.4,1681.2,2026-05-21T03:43:14Z,14321.4
2009,25,Utah,Mountain West,1877.2,10,3,13,0.769,10-3,Air Force,1712.7,1476.5,2026-05-21T03:43:14Z,12942.4
2009,26,Stanford,Pac-12,1875.8,8,5,13,0.615,8-5,Oregon,2040.7,1634.9,2026-05-21T03:43:14Z,12381
2009,27,Georgia,SEC,1867.7,8,5,13,0.615,8-5,Georgia Tech,1998.6,1710.8,2026-05-21T03:43:14Z,12471.1
2009,28,USC,Pac-12,1865.4,9,4,13,0.692,9-4,Ohio State,2186.4,1663.3,2026-05-21T03:43:14Z,14234.4
2009,29,UNC,NA,1863.6,8,5,13,0.615,8-5,Virginia Tech,2088.5,1622.8,2026-05-21T03:43:14Z,12331.8
2009,30,FSU,NA,1858.2,7,5,12,0.583,7-5,BYU,1985.4,1741.7,2026-05-21T03:43:14Z,11141
2009,31,West Virginia,Big 12,1838.9,9,4,13,0.692,9-4,Pitt,2005.9,1706.4,2026-05-21T03:43:14Z,14591.2
2009,32,Auburn,SEC,1837.2,8,5,13,0.615,8-5,Ole Miss,1911.7,1725.1,2026-05-21T03:43:14Z,12206.4
2009,33,Tennessee,SEC,1830,7,6,13,0.538,7-6,Georgia,1867.7,1713,2026-05-21T03:43:14Z,9746.7
2009,34,Oregon St,Pac-12,1827.7,8,5,13,0.615,8-5,Stanford,1875.8,1613.7,2026-05-21T03:43:14Z,11145.4
2009,35,Rutgers,Big East,1815.5,9,3,12,0.75,9-3,UConn,1892.3,1356,2026-05-21T03:43:14Z,10832.3
2009,36,Arizona,Pac-12,1799.1,8,5,13,0.615,8-5,Stanford,1875.8,1657,2026-05-21T03:43:14Z,12009.4
2009,37,Oklahoma State,Big 12,1797.9,9,4,13,0.692,9-4,Texas Tech,1940.7,1574.2,2026-05-21T03:43:14Z,12712.4
2009,38,Miss St,SEC,1788.1,5,7,12,0.417,5-7,Ole Miss,1911.7,1759,2026-05-21T03:43:14Z,6622.9
2009,39,Navy,Independent,1775.2,9,4,13,0.692,9-4,Air Force,1712.7,1518.4,2026-05-21T03:43:14Z,12585.9
2009,40,South Carolina,SEC,1766.6,7,6,13,0.538,7-6,Ole Miss,1911.7,1744.9,2026-05-21T03:43:14Z,10087.4
2009,41,Villanova,NA,1757.4,3,0,3,1,3-0,Temple,1528.9,1450.1,2026-05-21T03:43:14Z,4350.4
2009,42,USF,NA,1754.3,8,5,13,0.615,8-5,FSU,1858.2,1582.1,2026-05-21T03:43:14Z,10827.9
2009,43,Cent Michigan,NA,1750.3,10,2,12,0.833,10-2,Michigan St,1629.9,1338.7,2026-05-21T03:43:14Z,12538.6
2009,44,William & Mary,NA,1742.7,3,0,3,1,3-0,UVA,1475.1,1432.2,2026-05-21T03:43:14Z,4296.6
2009,45,Boston College,ACC,1726.2,8,5,13,0.615,8-5,FSU,1858.2,1586.3,2026-05-21T03:43:14Z,11236.8
2009,46,ECU,NA,1724.5,7,5,12,0.583,7-5,Appalachian St,1652.5,1642.4,2026-05-21T03:43:14Z,10292.9
2009,47,Air Force,Mountain West,1712.7,8,5,13,0.615,8-5,Houston,1607.6,1455.9,2026-05-21T03:43:14Z,9388.3
2009,48,Kentucky,SEC,1709.1,7,6,13,0.538,7-6,Georgia,1867.7,1650,2026-05-21T03:43:14Z,9140.3
2009,49,California,Pac-12,1692,8,5,13,0.615,8-5,Stanford,1875.8,1616.2,2026-05-21T03:43:14Z,11726.3
2009,50,Notre Dame,Independent,1685.5,6,6,12,0.5,6-6,Boston College,1726.2,1663.8,2026-05-21T03:43:14Z,9206.1
2009,51,Richmond,NA,1676.5,4,1,5,0.8,4-1,Duke,1476.8,1410.3,2026-05-21T03:43:14Z,5398.9
2009,52,Northwestern,Big Ten,1674.5,8,5,13,0.615,8-5,Iowa,2128.1,1521.1,2026-05-21T03:43:14Z,11012
