season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score
2017,1,UCF,AAC,2448.8,13,0,13,1,13-0,Auburn,2238.7,1573.8,NA,2026-05-24T09:10:53Z,20459.3
2017,2,Alabama,SEC,2404.8,13,1,14,0.929,13-1,Georgia,2336.1,1699.6,NA,2026-05-24T09:10:53Z,21555.5
2017,3,Georgia,SEC,2336.1,13,2,15,0.867,13-2,Oklahoma,2246.5,1808.2,NA,2026-05-24T09:10:53Z,22479.3
2017,4,Wisconsin,Big Ten,2296.5,13,1,14,0.929,13-1,Miami,2061.3,1673,NA,2026-05-24T09:10:53Z,21188.4
2017,5,Clemson,ACC,2274.1,12,2,14,0.857,12-2,Auburn,2238.7,1701.9,NA,2026-05-24T09:10:53Z,19952.2
2017,6,Oklahoma,Big 12,2246.5,12,2,14,0.857,12-2,OSU,2233.3,1639.6,NA,2026-05-24T09:10:53Z,18796.8
2017,7,Auburn,SEC,2238.7,10,4,14,0.714,10-4,Alabama,2404.8,1778.4,NA,2026-05-24T09:10:53Z,15918.7
2017,8,OSU,Big Ten,2233.3,12,2,14,0.857,12-2,Wisconsin,2296.5,1750.8,NA,2026-05-24T09:10:53Z,20317.4
2017,9,Penn State,Big Ten,2202,11,2,13,0.846,11-2,Northwestern,2017.2,1700.9,NA,2026-05-24T09:10:53Z,17891.8
2017,10,Notre Dame,Independent,2076.4,10,3,13,0.769,10-3,USC,2007.1,1835.5,NA,2026-05-24T09:10:53Z,17490.1
2017,11,Miami,ACC,2061.3,10,3,13,0.769,10-3,Notre Dame,2076.4,1695.4,NA,2026-05-24T09:10:53Z,15791.1
2017,12,Northwestern,Big Ten,2017.2,10,3,13,0.769,10-3,Michigan State,1986.5,1661.1,NA,2026-05-24T09:10:53Z,15321.2
2017,13,USC,Pac-12,2007.1,11,3,14,0.786,11-3,Stanford,1973.6,1662.6,NA,2026-05-24T09:10:53Z,17295.4
2017,14,TCU,Big 12,1996.1,11,3,14,0.786,11-3,Stanford,1973.6,1558.2,NA,2026-05-24T09:10:53Z,15500.5
2017,15,Miss St,SEC,1990.7,9,4,13,0.692,9-4,LSU,1919.7,1699.7,NA,2026-05-24T09:10:53Z,13482.6
2017,16,Michigan State,Big Ten,1986.5,10,3,13,0.769,10-3,Penn State,2202,1730.4,NA,2026-05-24T09:10:53Z,16168.4
2017,17,Stanford,Pac-12,1973.6,9,5,14,0.643,9-5,Notre Dame,2076.4,1650,NA,2026-05-24T09:10:53Z,13784.3
2017,18,Memphis,AAC,1956.3,10,3,13,0.769,10-3,Navy,1698,1535.9,NA,2026-05-24T09:10:53Z,13247.8
2017,19,Iowa,Big Ten,1947.4,8,5,13,0.615,8-5,OSU,2233.3,1789.8,NA,2026-05-24T09:10:53Z,12942.8
2017,20,Oklahoma State,Big 12,1942.5,10,3,13,0.769,10-3,Virginia Tech,1830.9,1565.7,NA,2026-05-24T09:10:53Z,14383.2
2017,21,Washington,Pac-12,1923.1,10,3,13,0.769,10-3,Fresno State,1784.6,1502.6,NA,2026-05-24T09:10:53Z,13697.7
2017,22,NC State,ACC,1919.9,9,4,13,0.692,9-4,Louisville,1827.2,1636,NA,2026-05-24T09:10:53Z,13230.7
2017,23,LSU,SEC,1919.7,9,4,13,0.692,9-4,Auburn,2238.7,1633.8,NA,2026-05-24T09:10:53Z,13085.9
2017,24,USF,AAC,1859.1,10,2,12,0.833,10-2,Temple,1643.8,1362,NA,2026-05-24T09:10:53Z,12260
2017,25,South Carolina,SEC,1857.8,9,4,13,0.692,9-4,NC State,1919.9,1637.3,NA,2026-05-24T09:10:53Z,13311.7
2017,26,Michigan,Big Ten,1849.1,8,5,13,0.615,8-5,Purdue,1822.8,1734.6,NA,2026-05-24T09:10:53Z,11973.4
2017,27,Virginia Tech,ACC,1830.9,9,4,13,0.692,9-4,Boston College,1805.9,1636.2,NA,2026-05-24T09:10:53Z,13262.9
