season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,resume_score,pr,baseline_elo,baseline_date,elo_change
2026,1,USC,Big Ten,1806.2,4,0,4,1,4-0,Fresno St,1411.3,1130.5,NA,2026-09-26T11:31:45Z,61.3,1814,1273.4,2026-09-20,532.8
2026,2,N Dakota St,Mountain West,1774.1,4,0,4,1,4-0,Jax State,1153.6,841.4,NA,2026-09-26T11:31:45Z,0,1774.1,1136.1,2026-09-20,638
2026,3,Indiana,Big Ten,1677,4,0,4,1,4-0,Northwestern,1050.1,652.2,NA,2026-09-26T11:31:45Z,0,1677,1076.7,2026-09-26,600.3
2026,4,Fresno St,Pac-12,1411.3,2,1,3,0.667,2-1,San José St,1143.1,1231.2,NA,2026-09-26T11:31:45Z,0,1106.9,1408.1,2026-09-26,3.2
2026,5,Notre Dame,Independent,1410.6,3,0,3,1,3-0,Michigan St,1114.1,931.2,NA,2026-09-26T11:31:45Z,0,1410.6,1408.1,2026-09-21,2.5
2026,6,James Madison,Sun Belt,1381.2,3,0,3,1,3-0,Liberty,1268.4,868.1,NA,2026-09-26T11:31:45Z,0,1381.2,1369.4,2026-09-26,11.8
2026,7,UCLA,Big Ten,1345.4,3,0,3,1,3-0,California,971.2,807.6,NA,2026-09-26T11:31:45Z,0,1345.4,1176.5,2026-09-20,168.9
2026,8,Ole Miss,SEC,1331.1,3,0,3,1,3-0,LSU,1262.8,879.8,NA,2026-09-26T11:31:45Z,0,1331.1,1241.8,2026-09-21,89.3
2026,9,Penn State,Big Ten,1315.8,3,0,3,1,3-0,Marshall,899.1,720.3,NA,2026-09-26T11:31:45Z,0,1315.8,1169.7,2026-09-20,146.1
2026,10,West Virginia,Big 12,1286.3,3,0,3,1,3-0,Virginia,949.7,792.4,NA,2026-09-26T11:31:45Z,0,1286.3,1286.2,2026-09-26,0.1
2026,11,Liberty,C-USA,1268.4,3,1,4,0.75,3-1,Coastal,844,756.7,NA,2026-09-26T11:31:45Z,0,1067.3,1264.9,2026-09-26,3.5
2026,12,Alabama,SEC,1265.4,3,0,3,1,3-0,Kentucky,994.1,815.1,NA,2026-09-26T11:31:45Z,0,1265.4,1265.3,2026-09-26,0.1
2026,13,LSU,SEC,1262.8,2,1,3,0.667,2-1,Clemson,1198.5,1041.8,NA,2026-09-26T11:31:45Z,0,990.4,1234.4,2026-09-20,28.4
2026,14,Mississippi St,SEC,1247.9,3,0,3,1,3-0,South Carolina,934.8,745.6,NA,2026-09-26T11:31:45Z,0,1247.9,1146.3,2026-09-20,101.6
2026,15,Duke,ACC,1237.4,3,0,3,1,3-0,Illinois,1077.8,865.4,NA,2026-09-26T11:31:45Z,0,1237.4,1102,2026-09-20,135.4
2026,16,Texas,SEC,1235.4,3,0,3,1,3-0,Ohio State,1050.8,899.4,NA,2026-09-26T11:31:45Z,0,1235.4,1114.1,2026-09-20,121.3
2026,17,Florida,SEC,1234.1,3,0,3,1,3-0,Auburn,929.9,673.9,NA,2026-09-26T11:31:45Z,0,1234.1,1098,2026-09-20,136.1
2026,18,UMass,MAC,1223.4,3,0,3,1,3-0,Rutgers,862.3,402.7,NA,2026-09-26T11:31:45Z,0,1223.4,991.5,2026-09-25,231.9
2026,19,Pitt,ACC,1210.9,3,0,3,1,3-0,UCF,982.5,775.1,NA,2026-09-26T11:31:45Z,0,1210.9,1198.6,2026-09-26,12.3
2026,20,Virginia Tech,ACC,1204.2,3,0,3,1,3-0,Maryland,967,591.6,NA,2026-09-26T11:31:45Z,0,1204.2,1074.3,2026-09-20,129.9
2026,21,Clemson,ACC,1198.5,3,1,4,0.75,3-1,California,971.2,981.2,NA,2026-09-26T11:31:45Z,0,1008.5,965.1,2026-09-20,233.4
2026,22,BYU,Big 12,1196.5,3,0,3,1,3-0,Colorado St,828.3,597.1,NA,2026-09-26T11:31:45Z,0,1196.5,1020.3,2026-09-20,176.2
2026,23,Miami,ACC,1195.4,3,0,3,1,3-0,Wake Forest,874.3,586.2,NA,2026-09-26T11:31:45Z,0,1195.4,1193.3,2026-09-26,2.1
2026,24,Michigan,Big Ten,1186.9,3,0,3,1,3-0,Oklahoma,1031.1,838.7,NA,2026-09-26T11:31:45Z,0,1186.9,1123.8,2026-09-20,63.1
2026,25,Tulsa,AAC,1180.8,3,0,3,1,3-0,Oklahoma St,997,633.3,NA,2026-09-26T11:31:45Z,0,1180.8,1086.3,2026-09-20,94.5
2026,26,Cincinnati,Big 12,1171.5,3,0,3,1,3-0,Boston College,957.7,590.2,NA,2026-09-26T11:31:45Z,0,1171.5,1115.5,2026-09-20,56
2026,27,Jax State,C-USA,1153.6,2,2,4,0.5,2-2,GA Southern,742,847.7,NA,2026-09-26T11:31:45Z,0,761.1,586,2026-09-20,567.6
2026,28,Kansas St,Big 12,1148.2,3,0,3,1,3-0,Tulane,799.2,617.9,NA,2026-09-26T11:31:45Z,0,1148.2,1108.1,2026-09-20,40.1
2026,29,Vanderbilt,SEC,1147.4,3,0,3,1,3-0,Delaware,982.7,584.1,NA,2026-09-26T11:31:45Z,0,1147.4,1105,2026-09-20,42.4
2026,30,San José St,Mountain West,1143.1,2,2,4,0.5,2-2,E Michigan,783.7,1045.6,NA,2026-09-26T11:31:45Z,0,754.2,898.1,2026-09-20,245
2026,31,Missouri,SEC,1132.5,3,0,3,1,3-0,Troy,827.6,512.8,NA,2026-09-26T11:31:45Z,0,1132.5,1132.5,2026-09-25,0
2026,32,South Florida,AAC,1128,3,0,3,1,3-0,Army,951,605.1,NA,2026-09-26T11:31:45Z,0,1128,1077.8,2026-09-20,50.2
2026,33,Michigan St,Big Ten,1114.1,2,1,3,0.667,2-1,Toledo,818.8,1004.4,NA,2026-09-26T11:31:45Z,0,873.8,1106,2026-09-26,8.1
2026,34,Louisiana,Sun Belt,1105.3,2,1,3,0.667,2-1,UAB,853.7,940.7,NA,2026-09-26T11:31:45Z,0,866.9,729.5,2026-09-20,375.8
2026,35,Tennessee,SEC,1085.4,3,0,3,1,3-0,Georgia Tech,630.6,418.6,NA,2026-09-26T11:31:45Z,0,1085.4,1024.4,2026-09-20,61
2026,36,Boise St,Pac-12,1080.1,2,1,3,0.667,2-1,Memphis,1005.7,707.6,NA,2026-09-26T11:31:45Z,0,847.1,836.2,2026-09-20,243.9
2026,37,Illinois,Big Ten,1077.8,2,1,3,0.667,2-1,UAB,853.7,752.1,NA,2026-09-26T11:31:45Z,0,845.3,902.7,2026-09-25,175.1
2026,38,Wisconsin,Big Ten,1073.3,2,1,3,0.667,2-1,E Michigan,783.7,784.8,NA,2026-09-26T11:31:45Z,0,841.8,1072,2026-09-21,1.3
2026,39,Nebraska,Big Ten,1070.4,3,0,3,1,3-0,Ohio,697.3,366.3,NA,2026-09-26T11:31:45Z,0,1070.4,1070.3,2026-09-26,0.1
2026,40,Texas Tech,Big 12,1068.7,3,0,3,1,3-0,Houston,906.7,552.2,NA,2026-09-26T11:31:45Z,0,1068.7,1043.4,2026-09-20,25.3
2026,41,Utah,Big 12,1060.2,3,0,3,1,3-0,Arkansas,571.7,333.1,NA,2026-09-26T11:31:45Z,0,1060.2,1060.1,2026-09-25,0.1
2026,42,Iowa,Big Ten,1059.3,3,0,3,1,3-0,Iowa State,826.7,416.1,NA,2026-09-26T11:31:45Z,0,1059.3,1033.8,2026-09-20,25.5
2026,43,Georgia,SEC,1056.5,3,0,3,1,3-0,Arkansas,571.7,339.2,NA,2026-09-26T11:31:45Z,0,1056.5,1061.7,2026-09-20,-5.2
2026,44,Ohio State,Big Ten,1050.8,2,1,3,0.667,2-1,Ball State,615.7,788.9,NA,2026-09-26T11:31:45Z,0,824.1,1050.3,2026-09-26,0.5
2026,45,Northwestern,Big Ten,1050.1,2,1,3,0.667,2-1,Colorado,693.3,845.4,NA,2026-09-26T11:31:45Z,0,823.6,360.3,2026-09-20,689.8
2026,46,App State,Sun Belt,1042.2,3,0,3,1,3-0,East Carolina,728.6,535.5,NA,2026-09-26T11:31:45Z,0,1042.2,987.3,2026-09-20,54.9
2026,47,Oklahoma,SEC,1031.1,2,1,3,0.667,2-1,New Mexico,901.6,884.6,NA,2026-09-26T11:31:45Z,0,808.7,1031.1,2026-09-26,0
