winner,loser,winner_pts,loser_pts
USC,San José St,42,26
North Carolina,TCU,15,10
Virginia,NC State,34,8
N Dakota St,Jax State,33,7
E Michigan,Sacramento St,28,17
Stanford,Hawai'i,37,27
Florida St,New Mexico St,34,17
Memphis,UNLV,27,21
Utah,Idaho,66,14
Missouri,AR-Pine Bluff,54,14
UMass,Rutgers,37,21
UCF,Bethune,73,6
Wake Forest,Akron,38,16
Delaware,Merrimack,42,7
Buffalo,UAlbany,21,17
Colorado,Georgia Tech,14,13
Minnesota,E Illinois,59,7
Illinois,UAB,42,23
Miami,Stanford,45,6
Oklahoma,UTEP,51,0
USC,Fresno St,39,0
San José St,E Michigan,27,21
Purdue,Indiana St,44,19
Georgia St,NC A&T,59,10
Kansas,Long Island,51,6
Michigan St,Toledo,30,20
Ohio State,Ball State,56,3
Oregon,Boise St,34,27
Georgia,Tennessee St,63,3
Texas,Texas St,59,7
Indiana,North Texas,52,16
Texas A&M,Missouri St,50,0
LSU,Clemson,51,10
Texas Tech,Abilene Chrstn,33,10
Alabama,East Carolina,48,10
BYU,Utah Tech,63,7
Michigan,W Michigan,13,12
Penn State,Marshall,45,0
Tennessee,Furman,56,9
Iowa,N Illinois,40,0
Houston,Oregon St,33,20
West Virginia,Coastal,31,24
Syracuse,New Hampshire,66,3
Nebraska,Ohio,49,21
UConn,Lafayette,56,7
Army,Bryant,59,3
Tarleton St,Bowling Green,20,13
James Madison,Liberty,20,13
Pitt,Miami OH,59,14
South Carolina,Kent State,57,0
Kentucky,Youngstown St,45,13
Iowa State,SE Missouri,38,10
Air Force,Duquesne,34,0
Temple,Rhode Island,38,14
Auburn,Baylor,17,16
Cincinnati,Boston College,34,15
Duke,Tulane,17,3
The Citadel,Charlotte,43,41
Navy,Towson,42,15
UTSA,UT Rio Grande,45,16
N Dakota St,Fordham,38,0
App State,Maine,55,3
Tulsa,Oklahoma St,24,10
Arkansas,North Alabama,31,14
Southern Miss,Alcorn St,49,3
Colorado St,Wyoming,35,13
Old Dominion,Norfolk St,31,10
Vanderbilt,Austin Peay,28,9
Kansas St,Nicholls,71,3
Idaho St,Utah State,29,17
Memphis,Arkansas St,42,24
Rice,Hou Christian,31,3
South Florida,FIU,19,9
Jax State,E Kentucky,49,7
GA Southern,Charleston So,31,0
South Alabama,SE Louisiana,39,14
Troy,Sam Houston,24,21
Mississippi St,UL Monroe,62,13
Virginia Tech,VMI,73,3
Louisiana Tech,N'Western St,80,6
Florida,FAU,66,21
MTSU,Murray St,38,14
Maryland,Hampton,62,0
Northwestern,S Dakota St,34,18
Louisiana,Lamar,38,7
New Mexico St,Mercyhurst,51,14
Arizona,N Arizona,35,7
San Diego St,Portland St,53,20
Arizona St,Morgan St,70,7
UNLV,Hawai'i,21,6
New Mexico,C Michigan,38,7
Sacramento St,Miss Valley St,52,0
UCLA,California,45,24
Nevada,Western KY,49,14
Notre Dame,Wisconsin,41,13
Ole Miss,Louisville,41,38
Washington,Washington St,24,10
