season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2022,1,Tennessee,SEC,2131.9,57,9,66,0.864,57-9,Ole Miss,2100.2,1686.7,NA,2026-09-07T04:02:07Z,2131.9,2026-09-03,0
2022,2,Ole Miss,SEC,2100.2,42,23,65,0.646,42-23,Texas A&M,2006.6,1759.8,NA,2026-09-07T04:02:07Z,2100.2,2026-09-03,0
2022,3,Texas A&M,SEC,2006.6,44,20,64,0.688,44-20,Ole Miss,2100.2,1742.5,NA,2026-09-07T04:02:07Z,2006.6,2026-09-03,0
2022,4,Arkansas,SEC,1995,46,21,67,0.687,46-21,Ole Miss,2100.2,1750.1,NA,2026-09-07T04:02:07Z,1995,2026-09-03,0
2022,5,Oklahoma,Big 12,1979.5,45,24,69,0.652,45-24,Texas A&M,2006.6,1725.9,NA,2026-09-07T04:02:07Z,1979.5,2026-09-03,0
2022,6,Old Dominion,AAC,1977.1,6,3,9,0.667,6-3,Louisiana Tech,1883.5,1794.7,NA,2026-09-07T04:02:07Z,1977.1,2026-09-03,0
2022,7,Virginia Tech,ACC,1968.4,45,14,59,0.763,45-14,Oklahoma,1979.5,1629,NA,2026-09-07T04:02:07Z,1968.4,2026-09-03,0
2022,8,North Carolina,ACC,1961,41,22,63,0.651,41-22,Virginia Tech,1968.4,1715,NA,2026-09-07T04:02:07Z,1961,2026-09-03,0
2022,9,Florida,SEC,1945.5,42,24,66,0.636,42-24,Texas A&M,2006.6,1758.8,NA,2026-09-07T04:02:07Z,1945.5,2026-09-03,0
2022,10,Stanford,Pac-12,1942.5,47,18,65,0.723,47-18,Arkansas,1995,1648.4,NA,2026-09-07T04:02:07Z,1942.5,2026-09-03,0
2022,11,Auburn,SEC,1931.6,43,22,65,0.662,43-22,Tennessee,2131.9,1751.8,NA,2026-09-07T04:02:07Z,1931.6,2026-09-03,0
2022,12,LSU,SEC,1911.3,39,21,60,0.65,39-21,Texas A&M,2006.6,1722.7,NA,2026-09-07T04:02:07Z,1911.3,2026-09-03,0
2022,13,Notre Dame,ACC,1899.4,41,17,58,0.707,41-17,Tennessee,2131.9,1632.9,NA,2026-09-07T04:02:07Z,1899.4,2026-09-03,0
2022,14,Kentucky,SEC,1894.8,33,26,59,0.559,33-26,Tennessee,2131.9,1739.3,NA,2026-09-07T04:02:07Z,1894.8,2026-09-03,0
2022,15,Stetson,ASUN/OVC,1893.1,4,5,9,0.444,4-5,Miami,1787.1,1781.4,NA,2026-09-07T04:02:07Z,1893.1,2026-09-03,0
2022,16,Louisville,ACC,1885.9,42,21,63,0.667,42-21,Virginia Tech,1968.4,1670.9,NA,2026-09-07T04:02:07Z,1885.9,2026-09-03,0
2022,17,Louisiana Tech,Sun Belt,1883.5,7,4,11,0.636,7-4,Old Dominion,1977.1,1820.3,NA,2026-09-07T04:02:07Z,1883.5,2026-09-03,0
2022,18,Southern Miss,Sun Belt,1871.6,31,11,42,0.738,31-11,Ole Miss,2100.2,1667.1,NA,2026-09-07T04:02:07Z,1871.6,2026-09-03,0
2022,19,Vanderbilt,SEC,1869.6,39,23,62,0.629,39-23,Ole Miss,2100.2,1755.4,NA,2026-09-07T04:02:07Z,1869.6,2026-09-03,0
2022,20,Texas,Big 12,1864.5,46,22,68,0.676,46-22,Tennessee,2131.9,1670.5,NA,2026-09-07T04:02:07Z,1864.5,2026-09-03,0
2022,21,Oklahoma St,Big 12,1863.9,42,21,63,0.667,42-21,Arkansas,1995,1701.4,NA,2026-09-07T04:02:07Z,1863.9,2026-09-03,0
2022,22,Wake Forest,ACC,1853.9,41,19,60,0.683,41-19,North Carolina,1961,1614.7,NA,2026-09-07T04:02:07Z,1853.9,2026-09-03,0
2022,23,UTSA,AAC,1846.2,7,8,15,0.467,7-8,Stanford,1942.5,1845.6,NA,2026-09-07T04:02:07Z,1846.2,2026-09-03,0
2022,24,Oregon St,Pac-12,1844,48,18,66,0.727,48-18,Stanford,1942.5,1673.5,NA,2026-09-07T04:02:07Z,1844,2026-09-03,0
2022,25,East Carolina,AAC,1839.7,15,11,26,0.577,15-11,North Carolina,1961,1714.2,NA,2026-09-07T04:02:07Z,1839.7,2026-09-03,0
2022,26,UConn,Big East,1836.2,37,13,50,0.74,37-13,Stanford,1942.5,1503.3,NA,2026-09-07T04:02:07Z,1836.2,2026-09-03,0
2022,27,Alabama,SEC,1828.5,29,27,56,0.518,29-27,Tennessee,2131.9,1761.6,NA,2026-09-07T04:02:07Z,1828.5,2026-09-03,0
2022,28,Northeastern,CAA,1828.1,9,7,16,0.562,9-7,UConn,1836.2,1693.6,NA,2026-09-07T04:02:07Z,1828.1,2026-09-03,0
2022,29,Charleston,CAA,1824.2,3,3,6,0.5,3-3,Texas,1864.5,1771.3,NA,2026-09-07T04:02:07Z,1824.2,2026-09-03,0
2022,30,Texas St,Sun Belt,1812.5,38,13,51,0.745,38-13,Stanford,1942.5,1542.3,NA,2026-09-07T04:02:07Z,1812.5,2026-09-03,0
2022,31,NC State,ACC,1807,36,21,57,0.632,36-21,Virginia Tech,1968.4,1678,NA,2026-09-07T04:02:07Z,1807,2026-09-03,0
2022,32,Coastal,Sun Belt,1805.7,14,10,24,0.583,14-10,Wake Forest,1853.9,1757,NA,2026-09-07T04:02:07Z,1805.7,2026-09-03,0
2022,33,Virginia,ACC,1804.8,39,19,58,0.672,39-19,Virginia Tech,1968.4,1633.8,NA,2026-09-07T04:02:07Z,1804.8,2026-09-03,0
2022,34,Missouri,SEC,1803.8,28,22,50,0.56,28-22,Arkansas,1995,1690.7,NA,2026-09-07T04:02:07Z,1803.8,2026-09-03,0
2022,35,Columbia,Ivy League,1800.7,6,6,12,0.5,6-6,Penn,1703.9,1685,NA,2026-09-07T04:02:07Z,1800.7,2026-09-03,0
2022,36,Grand Canyon,WAC/Southland,1794.6,15,8,23,0.652,15-8,Stanford,1942.5,1664.9,NA,2026-09-07T04:02:07Z,1794.6,2026-09-03,0
2022,37,Maryland,Big Ten,1792,48,14,62,0.774,48-14,Wake Forest,1853.9,1526,NA,2026-09-07T04:02:07Z,1792,2026-09-03,0
2022,38,UCLA,Pac-12,1791.9,40,24,64,0.625,40-24,Oklahoma,1979.5,1640.6,NA,2026-09-07T04:02:07Z,1791.9,2026-09-03,0
2022,39,Miami,ACC,1787.1,40,19,59,0.678,40-19,Virginia Tech,1968.4,1653.4,NA,2026-09-07T04:02:07Z,1787.1,2026-09-03,0
