season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2024,1,Tennessee,SEC,2120.1,50,13,63,0.794,50-13,Texas A&M,2072.6,1686.6,NA,2026-06-30T21:04:12Z
2024,2,Texas A&M,SEC,2072.6,44,14,58,0.759,44-14,Tennessee,2120.1,1716.3,NA,2026-06-30T21:04:12Z
2024,3,Florida St,ACC,1996,40,16,56,0.714,40-16,Florida,1970.9,1687.7,NA,2026-06-30T21:04:12Z
2024,4,Florida,SEC,1970.9,31,26,57,0.544,31-26,Tennessee,2120.1,1774.3,NA,2026-06-30T21:04:12Z
2024,5,North Carolina,ACC,1962.1,39,16,55,0.709,39-16,LSU,1938.3,1706.4,NA,2026-06-30T21:04:12Z
2024,6,Creighton,Big East,1955,7,1,8,0.875,7-1,Nebraska,1725.6,1634.3,NA,2026-06-30T21:04:12Z
2024,7,LSU,SEC,1938.3,34,22,56,0.607,34-22,Texas A&M,2072.6,1704.3,NA,2026-06-30T21:04:12Z
2024,8,Oklahoma St,Big 12,1924.8,35,17,52,0.673,35-17,Florida,1970.9,1670.8,NA,2026-06-30T21:04:12Z
2024,9,Kentucky,SEC,1922.5,39,13,52,0.75,39-13,Tennessee,2120.1,1745.4,NA,2026-06-30T21:04:12Z
2024,10,Georgia,SEC,1907.8,34,16,50,0.68,34-16,Tennessee,2120.1,1732.2,NA,2026-06-30T21:04:12Z
2024,11,NC State,ACC,1887.4,29,20,49,0.592,29-20,Florida St,1996,1741,NA,2026-06-30T21:04:12Z
2024,12,Virginia,ACC,1879.9,38,14,52,0.731,38-14,North Carolina,1962.1,1689,NA,2026-06-30T21:04:12Z
2024,13,Duke,ACC,1865.9,34,17,51,0.667,34-17,Florida St,1996,1618.4,NA,2026-06-30T21:04:12Z
2024,14,Oregon St,WCC,1851.8,37,16,53,0.698,37-16,Oklahoma St,1924.8,1615.5,NA,2026-06-30T21:04:12Z
2024,15,Mississippi St,SEC,1848.4,33,22,55,0.6,33-22,Texas A&M,2072.6,1688.1,NA,2026-06-30T21:04:12Z
2024,16,Southern Miss,Sun Belt,1837.2,9,5,14,0.643,9-5,App State,1792,1729.8,NA,2026-06-30T21:04:12Z
2024,17,Wake Forest,ACC,1831.3,33,18,51,0.647,33-18,Florida St,1996,1623.4,NA,2026-06-30T21:04:12Z
2024,18,Clemson,ACC,1830.8,37,16,53,0.698,37-16,Florida St,1996,1655.5,NA,2026-06-30T21:04:12Z
2024,19,Arkansas,SEC,1820.7,36,16,52,0.692,36-16,Texas A&M,2072.6,1680.4,NA,2026-06-30T21:04:12Z
2024,20,Vanderbilt,SEC,1808.1,28,23,51,0.549,28-23,Tennessee,2120.1,1729.3,NA,2026-06-30T21:04:12Z
2024,21,Oklahoma,Big 12,1800.1,35,18,53,0.66,35-18,Tennessee,2120.1,1659.2,NA,2026-06-30T21:04:12Z
2024,22,App State,Sun Belt,1792,4,4,8,0.5,4-4,Troy,1786.2,1752.8,NA,2026-06-30T21:04:12Z
2024,23,Evansville,MVC,1790.9,12,9,21,0.571,12-9,Tennessee,2120.1,1748.8,NA,2026-06-30T21:04:12Z
2024,24,Oregon,Big Ten,1790,35,15,50,0.7,35-15,Oregon St,1851.8,1563.6,NA,2026-06-30T21:04:12Z
2024,25,Troy,Sun Belt,1786.2,8,6,14,0.571,8-6,App State,1792,1726.8,NA,2026-06-30T21:04:12Z
2024,26,Stetson,ASUN/OVC,1784.8,10,8,18,0.556,10-8,Florida St,1996,1768.4,NA,2026-06-30T21:04:12Z
2024,27,Arizona St,Big 12,1779.8,30,20,50,0.6,30-20,California,1717.8,1579.2,NA,2026-06-30T21:04:12Z
2024,28,San Diego,WCC,1772.7,13,7,20,0.65,13-7,Texas,1745.3,1630.1,NA,2026-06-30T21:04:12Z
2024,29,East Carolina,AAC,1768.6,37,16,53,0.698,37-16,North Carolina,1962.1,1546.1,NA,2026-06-30T21:04:12Z
2024,30,West Virginia,Big 12,1766.6,30,21,51,0.588,30-21,Oklahoma St,1924.8,1674.4,NA,2026-06-30T21:04:12Z
2024,31,C Arkansas,WAC/Southland,1758.3,4,4,8,0.5,4-4,Mississippi St,1848.4,1731.4,NA,2026-06-30T21:04:12Z
2024,32,Indiana,Big Ten,1757.3,30,20,50,0.6,30-20,Southern Miss,1837.2,1592.5,NA,2026-06-30T21:04:12Z
2024,33,UNC Wilmington,CAA,1753,8,6,14,0.571,8-6,NC State,1887.4,1714.7,NA,2026-06-30T21:04:12Z
2024,34,Indiana St,MVC,1751.1,20,9,29,0.69,20-9,Evansville,1790.9,1555,NA,2026-06-30T21:04:12Z
2024,35,South Carolina,SEC,1750.5,30,23,53,0.566,30-23,Texas A&M,2072.6,1669.6,NA,2026-06-30T21:04:12Z
2024,36,Texas,Big 12,1745.3,33,18,51,0.647,33-18,Oklahoma St,1924.8,1640.9,NA,2026-06-30T21:04:12Z
2024,37,UCF,Big 12,1743.9,34,17,51,0.667,34-17,Oklahoma St,1924.8,1654.6,NA,2026-06-30T21:04:12Z
