season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2025,1,LSU,SEC,2113.2,53,15,68,0.779,53-15,Arkansas,2104.6,1699.1,2026-05-21T03:41:59Z
2025,2,Arkansas,SEC,2104.6,50,14,64,0.781,50-14,LSU,2113.2,1713.3,2026-05-21T03:41:59Z
2025,3,Coastal,NA,2070.8,51,11,62,0.823,51-11,Auburn,1954.7,1609.9,2026-05-21T03:41:59Z
2025,4,Vanderbilt,SEC,2006.9,43,18,61,0.705,43-18,Ole Miss,2005.2,1716.4,2026-05-21T03:41:59Z
2025,5,Ole Miss,SEC,2005.2,43,21,64,0.672,43-21,LSU,2113.2,1715,2026-05-21T03:41:59Z
2025,6,North Carolina,ACC,1981.4,46,15,61,0.754,46-15,Coastal,2070.8,1630.7,2026-05-21T03:41:59Z
2025,7,Auburn,SEC,1954.7,40,20,60,0.667,40-20,LSU,2113.2,1739.1,2026-05-21T03:41:59Z
2025,8,Texas,SEC,1940,44,14,58,0.759,44-14,LSU,2113.2,1685.3,2026-05-21T03:41:59Z
2025,9,Murray St,NA,1936.6,10,5,15,0.667,10-5,Ole Miss,2005.2,1725.3,2026-05-21T03:41:59Z
2025,10,East Carolina,AAC,1926.7,9,9,18,0.5,9-9,Coastal,2070.8,1855.7,2026-05-21T03:41:59Z
2025,11,Little Rock,NA,1922.7,9,4,13,0.692,9-4,LSU,2113.2,1512.5,2026-05-21T03:41:59Z
2025,12,Tennessee,SEC,1891.5,46,19,65,0.708,46-19,LSU,2113.2,1652.8,2026-05-21T03:41:59Z
2025,13,Oregon St,Pac-12,1890.9,48,16,64,0.75,48-16,Florida St,1868.7,1621.3,2026-05-21T03:41:59Z
2025,14,Florida,SEC,1887.3,39,22,61,0.639,39-22,Arkansas,2104.6,1672,2026-05-21T03:41:59Z
2025,15,Duke,ACC,1883,40,21,61,0.656,40-21,North Carolina,1981.4,1628.9,2026-05-21T03:41:59Z
2025,16,Creighton,NA,1871.3,8,3,11,0.727,8-3,Kansas,1763.8,1726.4,2026-05-21T03:41:59Z
2025,17,Florida St,ACC,1868.7,42,16,58,0.724,42-16,North Carolina,1981.4,1620.7,2026-05-21T03:41:59Z
2025,18,Mississippi St,NA,1868.6,35,23,58,0.603,35-23,Ole Miss,2005.2,1646.5,2026-05-21T03:41:59Z
2025,19,Oklahoma,SEC,1864.4,38,21,59,0.644,38-21,Vanderbilt,2006.9,1713.2,2026-05-21T03:41:59Z
2025,20,UCLA,Big Ten,1862.9,48,18,66,0.727,48-18,Murray St,1936.6,1623.2,2026-05-21T03:41:59Z
2025,21,Texas A&M,SEC,1862.1,30,26,56,0.536,30-26,LSU,2113.2,1645.1,2026-05-21T03:41:59Z
2025,22,Northeastern,NA,1856.7,10,3,13,0.769,10-3,UNC Wilmington,1657.7,1593.5,2026-05-21T03:41:59Z
2025,23,Georgia,SEC,1851.5,42,17,59,0.712,42-17,Arkansas,2104.6,1673.9,2026-05-21T03:41:59Z
2025,24,Southern Miss,Sun Belt,1849.4,41,15,56,0.732,41-15,Ole Miss,2005.2,1587.8,2026-05-21T03:41:59Z
2025,25,Kentucky,SEC,1845.6,31,25,56,0.554,31-25,Ole Miss,2005.2,1702.6,2026-05-21T03:41:59Z
2025,26,Georgia Tech,ACC,1838.7,41,19,60,0.683,41-19,Duke,1883,1651.6,2026-05-21T03:41:59Z
2025,27,UC San Diego,NA,1836.6,7,3,10,0.7,7-3,Cincinnati,1739.6,1692.9,2026-05-21T03:41:59Z
2025,28,Oklahoma St,Big 12,1832.6,30,25,55,0.545,30-25,Mississippi St,1868.6,1668.7,2026-05-21T03:41:59Z
2025,29,Oregon,NA,1832.2,41,16,57,0.719,41-16,Oregon St,1890.9,1572,2026-05-21T03:41:59Z
