season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2026,1,Philadelphia Phillies,NL East,1602.3,81,62,143,0.566,81-62,New York Yankees,1585.1,1496.1,NA,2026-09-06T18:23:27Z,1599.1,2026-09-03,3.2
2026,2,New York Yankees,AL East,1585.1,81,61,142,0.57,81-61,Philadelphia Phillies,1602.3,1503.3,NA,2026-09-06T18:23:27Z,1569.3,2026-09-03,15.8
2026,3,Boston Red Sox,AL East,1576.5,79,65,144,0.549,79-65,Philadelphia Phillies,1602.3,1502.7,NA,2026-09-06T18:23:27Z,1546.4,2026-09-03,30.1
2026,4,Toronto Blue Jays,AL East,1570.5,72,72,144,0.5,72-72,Philadelphia Phillies,1602.3,1510.4,NA,2026-09-06T18:23:27Z,1526.6,2026-09-03,43.9
2026,5,Chicago Cubs,NL Central,1570.3,81,63,144,0.562,81-63,Philadelphia Phillies,1602.3,1499.2,NA,2026-09-06T18:23:27Z,1566.1,2026-09-03,4.2
2026,6,Milwaukee Brewers,NL Central,1567.1,88,56,144,0.611,88-56,Philadelphia Phillies,1602.3,1498.4,NA,2026-09-06T18:23:27Z,1586.6,2026-09-03,-19.5
2026,7,Tampa Bay Rays,AL East,1538.3,85,57,142,0.599,85-57,New York Yankees,1585.1,1500.5,NA,2026-09-06T18:23:27Z,1571.9,2026-09-03,-33.6
2026,8,San Diego Padres,NL West,1536,74,68,142,0.521,74-68,New York Yankees,1585.1,1497.8,NA,2026-09-06T18:23:27Z,1543.7,2026-09-03,-7.7
2026,9,Atlanta Braves,NL East,1534.2,84,60,144,0.583,84-60,Philadelphia Phillies,1602.3,1500.4,NA,2026-09-06T18:23:27Z,1537.3,2026-09-03,-3.1
2026,10,Houston Astros,AL West,1534.2,74,70,144,0.514,74-70,New York Yankees,1585.1,1477.8,NA,2026-09-06T18:23:27Z,1496,2026-09-03,38.2
2026,11,Los Angeles Dodgers,NL West,1531.3,85,57,142,0.599,85-57,Philadelphia Phillies,1602.3,1497.7,NA,2026-09-06T18:23:27Z,1520.9,2026-09-03,10.4
2026,12,Kansas City Royals,AL Central,1512.1,64,80,144,0.444,64-80,Philadelphia Phillies,1602.3,1490.2,NA,2026-09-06T18:23:27Z,1515.5,2026-09-03,-3.4
2026,13,New York Mets,NL East,1512.1,64,78,142,0.451,64-78,Philadelphia Phillies,1602.3,1506.7,NA,2026-09-06T18:23:27Z,1495.1,2026-09-03,17
2026,14,Pittsburgh Pirates,NL Central,1505.9,71,73,144,0.493,71-73,Philadelphia Phillies,1602.3,1504.5,NA,2026-09-06T18:23:27Z,1514.9,2026-09-03,-9
2026,15,Chicago White Sox,AL Central,1505.6,74,68,142,0.521,74-68,Philadelphia Phillies,1602.3,1499.3,NA,2026-09-06T18:23:27Z,1536.1,2026-09-03,-30.5
2026,16,Arizona Diamondbacks,NL West,1496.1,75,69,144,0.521,75-69,Philadelphia Phillies,1602.3,1499.2,NA,2026-09-06T18:23:27Z,1505.1,2026-09-03,-9
2026,17,St. Louis Cardinals,NL Central,1491.4,71,72,143,0.497,71-72,Philadelphia Phillies,1602.3,1510.6,NA,2026-09-06T18:23:27Z,1500.8,2026-09-03,-9.4
2026,18,Miami Marlins,NL East,1490.6,72,72,144,0.5,72-72,Philadelphia Phillies,1602.3,1503.9,NA,2026-09-06T18:23:27Z,1504.6,2026-09-03,-14
2026,19,Cleveland Guardians,AL Central,1488.8,72,72,144,0.5,72-72,Philadelphia Phillies,1602.3,1495.5,NA,2026-09-06T18:23:27Z,1548.1,2026-09-03,-59.3
2026,20,Baltimore Orioles,AL East,1473.1,69,75,144,0.479,69-75,Philadelphia Phillies,1602.3,1503.8,NA,2026-09-06T18:23:27Z,1523,2026-09-03,-49.9
2026,21,Cincinnati Reds,NL Central,1470.4,69,74,143,0.483,69-74,Philadelphia Phillies,1602.3,1503.7,NA,2026-09-06T18:23:27Z,1443.6,2026-09-03,26.8
2026,22,Detroit Tigers,AL Central,1465.9,66,77,143,0.462,66-77,Philadelphia Phillies,1602.3,1500.3,NA,2026-09-06T18:23:27Z,1424.3,2026-09-03,41.6
2026,23,San Francisco Giants,NL West,1464.6,60,84,144,0.417,60-84,Philadelphia Phillies,1602.3,1499.9,NA,2026-09-06T18:23:27Z,1462,2026-09-03,2.6
2026,24,Minnesota Twins,AL Central,1461.3,68,74,142,0.479,68-74,New York Yankees,1585.1,1502.4,NA,2026-09-06T18:23:27Z,1481.2,2026-09-03,-19.9
2026,25,Washington Nationals,NL East,1449.8,67,77,144,0.465,67-77,Philadelphia Phillies,1602.3,1510.1,NA,2026-09-06T18:23:27Z,1464.6,2026-09-03,-14.8
2026,26,Texas Rangers,AL West,1437.4,70,73,143,0.49,70-73,Philadelphia Phillies,1602.3,1488.1,NA,2026-09-06T18:23:27Z,1427.8,2026-09-03,9.6
2026,27,Los Angeles Angels,AL West,1423,54,89,143,0.378,54-89,New York Yankees,1585.1,1496.9,NA,2026-09-06T18:23:27Z,1417.4,2026-09-03,5.6
2026,28,Seattle Mariners,AL West,1414,66,77,143,0.462,66-77,Philadelphia Phillies,1602.3,1500.7,NA,2026-09-06T18:23:27Z,1454.4,2026-09-03,-40.4
2026,29,Colorado Rockies,NL West,1401.7,55,87,142,0.387,55-87,Philadelphia Phillies,1602.3,1508.2,NA,2026-09-06T18:23:27Z,1373.4,2026-09-03,28.3
2026,30,Athletics,AL West,1390.2,57,86,143,0.399,57-86,Philadelphia Phillies,1602.3,1493,NA,2026-09-06T18:23:27Z,1344.4,2026-09-03,45.8
