date,home,away,winner,loser,winner_pts,loser_pts
2026-03-25,San Francisco Giants,New York Yankees,New York Yankees,San Francisco Giants,7,0
2026-03-26,New York Mets,Pittsburgh Pirates,New York Mets,Pittsburgh Pirates,11,7
2026-03-26,Milwaukee Brewers,Chicago White Sox,Milwaukee Brewers,Chicago White Sox,12,2
2026-03-26,Chicago Cubs,Washington Nationals,Washington Nationals,Chicago Cubs,10,4
2026-03-26,Baltimore Orioles,Minnesota Twins,Baltimore Orioles,Minnesota Twins,2,1
2026-03-26,Cincinnati Reds,Boston Red Sox,Boston Red Sox,Cincinnati Reds,3,0
2026-03-26,Houston Astros,Los Angeles Angels,Los Angeles Angels,Houston Astros,3,0
2026-03-26,San Diego Padres,Detroit Tigers,Detroit Tigers,San Diego Padres,8,2
2026-03-26,St. Louis Cardinals,Tampa Bay Rays,St. Louis Cardinals,Tampa Bay Rays,9,7
2026-03-26,Philadelphia Phillies,Texas Rangers,Philadelphia Phillies,Texas Rangers,5,3
2026-03-26,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,8,2
2026-03-26,Seattle Mariners,Cleveland Guardians,Cleveland Guardians,Seattle Mariners,6,4
2026-03-27,San Francisco Giants,New York Yankees,New York Yankees,San Francisco Giants,3,0
2026-03-27,Toronto Blue Jays,Athletics,Toronto Blue Jays,Athletics,3,2
2026-03-27,Miami Marlins,Colorado Rockies,Miami Marlins,Colorado Rockies,2,1
2026-03-27,Atlanta Braves,Kansas City Royals,Atlanta Braves,Kansas City Royals,6,0
2026-03-27,Houston Astros,Los Angeles Angels,Los Angeles Angels,Houston Astros,6,2
2026-03-27,San Diego Padres,Detroit Tigers,Detroit Tigers,San Diego Padres,5,2
2026-03-27,Seattle Mariners,Cleveland Guardians,Seattle Mariners,Cleveland Guardians,5,1
2026-03-27,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,5,4
2026-03-28,St. Louis Cardinals,Tampa Bay Rays,St. Louis Cardinals,Tampa Bay Rays,6,5
2026-03-28,Chicago Cubs,Washington Nationals,Chicago Cubs,Washington Nationals,10,2
2026-03-28,Toronto Blue Jays,Athletics,Toronto Blue Jays,Athletics,8,7
2026-03-28,Baltimore Orioles,Minnesota Twins,Minnesota Twins,Baltimore Orioles,4,1
2026-03-28,Philadelphia Phillies,Texas Rangers,Texas Rangers,Philadelphia Phillies,5,4
2026-03-28,Cincinnati Reds,Boston Red Sox,Cincinnati Reds,Boston Red Sox,6,5
2026-03-28,New York Mets,Pittsburgh Pirates,New York Mets,Pittsburgh Pirates,4,2
2026-03-28,Miami Marlins,Colorado Rockies,Miami Marlins,Colorado Rockies,4,3
2026-03-28,Houston Astros,Los Angeles Angels,Houston Astros,Los Angeles Angels,11,9
2026-03-28,Milwaukee Brewers,Chicago White Sox,Milwaukee Brewers,Chicago White Sox,6,1
2026-03-28,Atlanta Braves,Kansas City Royals,Atlanta Braves,Kansas City Royals,6,2
2026-03-28,San Francisco Giants,New York Yankees,New York Yankees,San Francisco Giants,3,1
2026-03-28,San Diego Padres,Detroit Tigers,San Diego Padres,Detroit Tigers,3,0
