season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2009,1,Los Angeles Lakers,Pacific,1914.7,85,26,111,0.766,85-26,Cleveland Cavaliers,1804,1512,2026-05-21T01:07:24Z
2009,2,Cleveland Cavaliers,Central,1804,78,25,103,0.757,78-25,Denver Nuggets,1740.9,1503.4,2026-05-21T01:07:24Z
2009,3,Denver Nuggets,Northwest,1740.9,70,35,105,0.667,70-35,Los Angeles Lakers,1914.7,1516.9,2026-05-21T01:07:24Z
2009,4,Orlando Magic,Southeast,1739.8,78,35,113,0.69,78-35,Los Angeles Lakers,1914.7,1525.3,2026-05-21T01:07:24Z
2009,5,Houston Rockets,Southwest,1723.5,65,37,102,0.637,65-37,Los Angeles Lakers,1914.7,1532.4,2026-05-21T01:07:24Z
2009,6,Portland Trail Blazers,Northwest,1711.7,60,35,95,0.632,60-35,Los Angeles Lakers,1914.7,1500.5,2026-05-21T01:07:24Z
2009,7,Dallas Mavericks,Southwest,1647.9,59,41,100,0.59,59-41,Denver Nuggets,1740.9,1507.2,2026-05-21T01:07:24Z
2009,8,Boston Celtics,Atlantic,1642.9,75,29,104,0.721,75-29,Cleveland Cavaliers,1804,1527.8,2026-05-21T01:07:24Z
2009,9,San Antonio Spurs,Southwest,1581.8,58,36,94,0.617,58-36,Los Angeles Lakers,1914.7,1508,2026-05-21T01:07:24Z
2009,10,Chicago Bulls,Central,1580.4,48,49,97,0.495,48-49,Cleveland Cavaliers,1804,1510.2,2026-05-21T01:07:24Z
2009,11,Indiana Pacers,Central,1545.1,40,50,90,0.444,40-50,Los Angeles Lakers,1914.7,1509.2,2026-05-21T01:07:24Z
2009,12,Phoenix Suns,Pacific,1540.9,51,39,90,0.567,51-39,Los Angeles Lakers,1914.7,1501.5,2026-05-21T01:07:24Z
2009,13,Atlanta Hawks,Southeast,1531.8,56,45,101,0.554,56-45,Los Angeles Lakers,1914.7,1524.6,2026-05-21T01:07:24Z
2009,14,Miami Heat,Southeast,1531.4,48,48,96,0.5,48-48,Los Angeles Lakers,1914.7,1507,2026-05-21T01:07:24Z
2009,15,Utah Jazz,Northwest,1498.9,53,40,93,0.57,53-40,Los Angeles Lakers,1914.7,1536.1,2026-05-21T01:07:24Z
2009,16,Toronto Raptors,Atlantic,1470.3,37,53,90,0.411,37-53,Cleveland Cavaliers,1804,1500.5,2026-05-21T01:07:24Z
2009,17,New Jersey Nets,NA,1425.9,37,52,89,0.416,37-52,Denver Nuggets,1740.9,1503.7,2026-05-21T01:07:24Z
2009,18,New Orleans Hornets,NA,1424.5,57,37,94,0.606,57-37,Los Angeles Lakers,1914.7,1522.3,2026-05-21T01:07:24Z
2009,19,Detroit Pistons,Central,1418.3,45,48,93,0.484,45-48,Los Angeles Lakers,1914.7,1518.6,2026-05-21T01:07:24Z
2009,20,Memphis Grizzlies,Southwest,1415.5,26,64,90,0.289,26-64,Orlando Magic,1739.8,1519.1,2026-05-21T01:07:24Z
2009,21,Milwaukee Bucks,Central,1413.1,35,55,90,0.389,35-55,Denver Nuggets,1740.9,1504.6,2026-05-21T01:07:24Z
2009,22,Charlotte Bobcats,NA,1412.9,35,55,90,0.389,35-55,Los Angeles Lakers,1914.7,1518.9,2026-05-21T01:07:24Z
2009,23,Philadelphia 76ers,Atlantic,1409.7,47,48,95,0.495,47-48,Los Angeles Lakers,1914.7,1527.6,2026-05-21T01:07:24Z
2009,24,New York Knicks,Atlantic,1402.2,35,54,89,0.393,35-54,Orlando Magic,1739.8,1506.8,2026-05-21T01:07:24Z
2009,25,Golden State Warriors,Pacific,1391.3,33,54,87,0.379,33-54,Denver Nuggets,1740.9,1482.6,2026-05-21T01:07:24Z
2009,26,Oklahoma City Thunder,Northwest,1329.4,24,65,89,0.27,24-65,Houston Rockets,1723.5,1505,2026-05-21T01:07:24Z
2009,27,Minnesota Timberwolves,Northwest,1285.4,30,60,90,0.333,30-60,Denver Nuggets,1740.9,1523.1,2026-05-21T01:07:24Z
2009,28,Washington Wizards,Southeast,1244.8,21,68,89,0.236,21-68,Cleveland Cavaliers,1804,1518.4,2026-05-21T01:07:24Z
2009,29,Sacramento Kings,Pacific,1206.4,18,72,90,0.2,18-72,Los Angeles Lakers,1914.7,1525.3,2026-05-21T01:07:24Z
2009,30,LA Clippers,Pacific,1178.8,23,67,90,0.256,23-67,Los Angeles Lakers,1914.7,1520,2026-05-21T01:07:24Z
2009,31,FC Barcelona Barcelona,NA,713.4,0,2,2,0,0-2,NA,NA,1546.8,2026-05-21T01:07:24Z
2009,32,CSKA Moscow CSKA,NA,711,0,2,2,0,0-2,NA,NA,1605,2026-05-21T01:07:24Z
2009,33,Western Conf All-Stars,NA,358.5,1,0,1,1,1-0,Eastern Conf All-Stars,16.5,16.5,2026-05-21T01:07:24Z
2009,34,Lietuvos Rytas Lietuvos,NA,182.3,0,1,1,0,0-1,NA,NA,1391.3,2026-05-21T01:07:24Z
2009,35,Eastern Conf All-Stars,NA,16.5,0,1,1,0,0-1,NA,NA,358.5,2026-05-21T01:07:24Z
