season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,baseline_elo,baseline_date,elo_change
2026,1,MIN,NFC North,1039.8,2,0,2,1,2-0,CHI,866.2,515.1,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-460.2
2026,2,BUF,AFC East,1017.9,2,0,2,1,2-0,DET,702.8,609.5,NA,2026-09-20T20:38:29Z,962.1,2026-09-20,55.8
2026,3,CIN,AFC North,940.3,2,0,2,1,2-0,HOU,516.3,343,NA,2026-09-20T20:38:29Z,327.3,2026-09-20,613
2026,4,CHI,NFC North,866.2,1,1,2,0.5,1-1,CAR,668.9,854.3,NA,2026-09-20T20:38:29Z,369.6,2026-09-20,496.6
2026,5,NO,NFC South,846.3,1,1,2,0.5,1-1,BAL,625.3,664,NA,2026-09-20T20:38:29Z,173.3,2026-09-20,673
2026,6,PHI,NFC East,845.9,2,0,2,1,2-0,TEN,278.2,226.7,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-654.1
2026,7,NE,AFC East,758.5,1,1,2,0.5,1-1,PIT,577,530,NA,2026-09-20T20:38:29Z,75,2026-09-20,683.5
2026,8,DET,NFC North,702.8,1,1,2,0.5,1-1,NO,846.3,932.1,NA,2026-09-20T20:38:29Z,610.6,2026-09-20,92.2
2026,9,CAR,NFC South,668.9,1,1,2,0.5,1-1,ATL,320.6,593.4,NA,2026-09-20T20:38:29Z,5.4,2026-09-20,663.5
2026,10,BAL,AFC North,625.3,1,1,2,0.5,1-1,IND,138.9,492.6,NA,2026-09-20T20:38:29Z,363.8,2026-09-20,261.5
2026,11,PIT,AFC North,577,1,1,2,0.5,1-1,ATL,320.6,539.5,NA,2026-09-20T20:38:29Z,333,2026-09-20,244
2026,12,NYJ,AFC East,521.6,1,0,1,1,1-0,TEN,278.2,278.2,NA,2026-09-20T20:38:29Z,353.9,2026-09-20,167.7
2026,13,HOU,AFC South,516.3,0,2,2,0,0-2,NA,NA,979.1,NA,2026-09-20T20:38:29Z,171.3,2026-09-20,345
2026,14,SEA,NFC West,483.1,1,0,1,1,1-0,NE,758.5,758.5,NA,2026-09-20T20:38:29Z,300,2026-09-20,183.1
2026,15,JAX,AFC South,372,1,0,1,1,1-0,CLE,3,3,NA,2026-09-20T20:38:29Z,372,2026-09-20,0
2026,16,KC,AFC West,368.3,1,0,1,1,1-0,DEN,6.7,6.7,NA,2026-09-20T20:38:29Z,1500,2026-09-15,-1131.7
2026,17,SF,NFC West,366.9,1,0,1,1,1-0,LA,8.1,8.1,NA,2026-09-20T20:38:29Z,366.9,2026-09-20,0
2026,18,LV,AFC West,356.2,1,0,1,1,1-0,MIA,18.8,18.8,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1143.8
2026,19,ARI,NFC West,351.4,1,0,1,1,1-0,LAC,23.6,23.6,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1148.6
2026,20,NYG,NFC East,337.7,1,0,1,1,1-0,DAL,37.3,37.3,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1162.3
2026,21,ATL,NFC South,320.6,0,2,2,0,0-2,NA,NA,623,NA,2026-09-20T20:38:29Z,42,2026-09-20,278.6
2026,22,TEN,AFC South,278.2,0,2,2,0,0-2,NA,NA,683.8,NA,2026-09-20T20:38:29Z,21.1,2026-09-20,257.1
2026,23,WAS,NFC East,175.2,0,1,1,0,0-1,NA,NA,845.9,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1324.8
2026,24,TB,NFC South,169.6,0,1,1,0,0-1,NA,NA,940.3,NA,2026-09-20T20:38:29Z,47.7,2026-09-20,121.9
2026,25,GB,NFC North,164.1,0,1,1,0,0-1,NA,NA,1039.8,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1335.9
2026,26,IND,AFC South,138.9,0,1,1,0,0-1,NA,NA,625.3,NA,2026-09-20T20:38:29Z,11.2,2026-09-20,127.7
2026,27,DAL,NFC East,37.3,0,1,1,0,0-1,NA,NA,337.7,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1462.7
2026,28,LAC,AFC West,23.6,0,1,1,0,0-1,NA,NA,351.4,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1476.4
2026,29,MIA,AFC East,18.8,0,1,1,0,0-1,NA,NA,356.2,NA,2026-09-20T20:38:29Z,1500,2026-09-14,-1481.2
2026,30,LA,NFC West,8.1,0,1,1,0,0-1,NA,NA,366.9,NA,2026-09-20T20:38:29Z,8.1,2026-09-20,0
2026,31,DEN,AFC West,6.7,0,1,1,0,0-1,NA,NA,368.3,NA,2026-09-20T20:38:29Z,1500,2026-09-15,-1493.3
2026,32,CLE,AFC North,3,0,1,1,0,0-1,NA,NA,372,NA,2026-09-20T20:38:29Z,3,2026-09-20,0
