date,home,away,winner,loser,winner_pts,loser_pts
2026-09-09,SEA,NE,SEA,NE,13,10
2026-09-10,LA,SF,SF,LA,27,7
2026-09-13,CAR,CHI,CHI,CAR,59,37
2026-09-13,CIN,TB,CIN,TB,33,27
2026-09-13,DET,NO,DET,NO,31,30
2026-09-13,HOU,BUF,BUF,HOU,36,31
2026-09-13,IND,BAL,BAL,IND,41,23
2026-09-13,JAX,CLE,JAX,CLE,34,10
2026-09-13,PIT,ATL,PIT,ATL,20,13
2026-09-13,TEN,NYJ,NYJ,TEN,23,10
2026-09-13,LAC,ARI,ARI,LAC,26,14
2026-09-13,LV,MIA,LV,MIA,27,13
2026-09-13,MIN,GB,MIN,GB,39,22
2026-09-13,PHI,WAS,PHI,WAS,24,22
2026-09-13,NYG,DAL,NYG,DAL,28,20
2026-09-14,KC,DEN,KC,DEN,31,10
2026-09-17,BUF,DET,BUF,DET,41,31
