season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at
2013,1,Los Angeles Kings,Pacific,1650.5,58,43,101,0.574,58-43,Boston Bruins,1645,1508.5,2026-05-21T01:00:01Z
2013,2,Boston Bruins,Atlantic,1645,57,29,86,0.663,57-29,Los Angeles Kings,1650.5,1494.2,2026-05-21T01:00:01Z
2013,3,Montreal Canadiens,Atlantic,1595.5,52,41,93,0.559,52-41,Boston Bruins,1645,1505.3,2026-05-21T01:00:01Z
2013,4,New York Rangers,Metropolitan,1575.4,53,45,98,0.541,53-45,Los Angeles Kings,1650.5,1512.7,2026-05-21T01:00:01Z
2013,5,Pittsburgh Penguins,Metropolitan,1569.8,55,34,89,0.618,55-34,Los Angeles Kings,1650.5,1503,2026-05-21T01:00:01Z
2013,6,Anaheim Ducks,Pacific,1562.4,55,33,88,0.625,55-33,Los Angeles Kings,1650.5,1510.6,2026-05-21T01:00:01Z
2013,7,San Jose Sharks,Pacific,1561.2,52,33,85,0.612,52-33,Los Angeles Kings,1650.5,1512.4,2026-05-21T01:00:01Z
2013,8,Minnesota Wild,Central,1556.9,47,43,90,0.522,47-43,Los Angeles Kings,1650.5,1507.3,2026-05-21T01:00:01Z
2013,9,Chicago Blackhawks,Central,1556.6,53,41,94,0.564,53-41,Los Angeles Kings,1650.5,1517.5,2026-05-21T01:00:01Z
2013,10,Philadelphia Flyers,Metropolitan,1555.7,41,40,81,0.506,41-40,Los Angeles Kings,1650.5,1500.6,2026-05-21T01:00:01Z
2013,11,Columbus Blue Jackets,Metropolitan,1552.2,44,39,83,0.53,44-39,Los Angeles Kings,1650.5,1497.2,2026-05-21T01:00:01Z
2013,12,Nashville Predators,Central,1536.8,37,42,79,0.468,37-42,Los Angeles Kings,1650.5,1504.1,2026-05-21T01:00:01Z
2013,13,Colorado Avalanche,Central,1530.3,48,33,81,0.593,48-33,Los Angeles Kings,1650.5,1507.4,2026-05-21T01:00:01Z
2013,14,Dallas Stars,Central,1523.9,42,44,86,0.488,42-44,Los Angeles Kings,1650.5,1507.5,2026-05-21T01:00:01Z
2013,15,Washington Capitals,Metropolitan,1495.4,37,42,79,0.468,37-42,Boston Bruins,1645,1503.3,2026-05-21T01:00:01Z
2013,16,Winnipeg Jets,Central,1490.1,37,43,80,0.462,37-43,Los Angeles Kings,1650.5,1505.7,2026-05-21T01:00:01Z
2013,17,St. Louis Blues,Central,1488.6,50,33,83,0.602,50-33,Los Angeles Kings,1650.5,1509.8,2026-05-21T01:00:01Z
2013,18,Detroit Red Wings,Atlantic,1480.2,39,46,85,0.459,39-46,Los Angeles Kings,1650.5,1498,2026-05-21T01:00:01Z
2013,19,Ottawa Senators,Atlantic,1480.2,37,44,81,0.457,37-44,Boston Bruins,1645,1494.4,2026-05-21T01:00:01Z
2013,20,Carolina Hurricanes,Metropolitan,1471.4,35,45,80,0.438,35-45,Montreal Canadiens,1595.5,1499.9,2026-05-21T01:00:01Z
2013,21,Tampa Bay Lightning,Atlantic,1468.5,42,40,82,0.512,42-40,Los Angeles Kings,1650.5,1501.1,2026-05-21T01:00:01Z
2013,22,Calgary Flames,Pacific,1463.8,34,45,79,0.43,34-45,Los Angeles Kings,1650.5,1503.4,2026-05-21T01:00:01Z
2013,23,New Jersey Devils,Metropolitan,1461.1,34,44,78,0.436,34-44,Los Angeles Kings,1650.5,1503.2,2026-05-21T01:00:01Z
2013,24,New York Islanders,Metropolitan,1447.2,33,46,79,0.418,33-46,Boston Bruins,1645,1501.1,2026-05-21T01:00:01Z
2013,25,Vancouver Canucks,Pacific,1423.4,35,43,78,0.449,35-43,Los Angeles Kings,1650.5,1506.5,2026-05-21T01:00:01Z
2013,26,Phoenix Coyotes,NA,1422.4,34,44,78,0.436,34-44,Los Angeles Kings,1650.5,1508.4,2026-05-21T01:00:01Z
2013,27,Edmonton Oilers,Pacific,1420.6,28,49,77,0.364,28-49,Montreal Canadiens,1595.5,1504,2026-05-21T01:00:01Z
2013,28,Toronto Maple Leafs,Atlantic,1389.8,36,43,79,0.456,36-43,Los Angeles Kings,1650.5,1497.4,2026-05-21T01:00:01Z
2013,29,Florida Panthers,Atlantic,1352.9,29,51,80,0.362,29-51,Montreal Canadiens,1595.5,1500.9,2026-05-21T01:00:01Z
2013,30,Buffalo Sabres,Atlantic,1271.9,20,56,76,0.263,20-56,Los Angeles Kings,1650.5,1503.8,2026-05-21T01:00:01Z
