season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at
2016,1,Pittsburgh Penguins,Metropolitan,1680.7,54,36,90,0.6,54-36,San Jose Sharks,1619.6,1508.5,NA,2026-06-23T21:08:12Z
2016,2,San Jose Sharks,Pacific,1619.6,52,40,92,0.565,52-40,Pittsburgh Penguins,1680.7,1506.9,NA,2026-06-23T21:08:12Z
2016,3,Washington Capitals,Metropolitan,1617.1,55,28,83,0.663,55-28,Pittsburgh Penguins,1680.7,1513.4,NA,2026-06-23T21:08:12Z
2016,4,Anaheim Ducks,Pacific,1616.9,42,33,75,0.56,42-33,Pittsburgh Penguins,1680.7,1490.1,NA,2026-06-23T21:08:12Z
2016,5,Tampa Bay Lightning,Atlantic,1582.4,50,35,85,0.588,50-35,Pittsburgh Penguins,1680.7,1507.7,NA,2026-06-23T21:08:12Z
2016,6,St. Louis Blues,Central,1556.2,51,39,90,0.567,51-39,Pittsburgh Penguins,1680.7,1505.8,NA,2026-06-23T21:08:12Z
2016,7,Chicago Blackhawks,Central,1546.5,45,35,80,0.562,45-35,Pittsburgh Penguins,1680.7,1498.3,NA,2026-06-23T21:08:12Z
2016,8,Philadelphia Flyers,Metropolitan,1545.7,40,39,79,0.506,40-39,Pittsburgh Penguins,1680.7,1505.5,NA,2026-06-23T21:08:12Z
2016,9,Los Angeles Kings,Pacific,1543.7,49,30,79,0.62,49-30,Pittsburgh Penguins,1680.7,1501.3,NA,2026-06-23T21:08:12Z
2016,10,Dallas Stars,Central,1537.3,51,38,89,0.573,51-38,Pittsburgh Penguins,1680.7,1503.1,NA,2026-06-23T21:08:12Z
2016,11,Florida Panthers,Atlantic,1529.9,43,34,77,0.558,43-34,Washington Capitals,1617.1,1494.9,NA,2026-06-23T21:08:12Z
2016,12,New York Rangers,Metropolitan,1513.2,42,37,79,0.532,42-37,Pittsburgh Penguins,1680.7,1514,NA,2026-06-23T21:08:12Z
2016,13,Nashville Predators,Central,1507.5,40,44,84,0.476,40-44,San Jose Sharks,1619.6,1512.6,NA,2026-06-23T21:08:12Z
2016,14,Winnipeg Jets,Central,1488.3,34,41,75,0.453,34-41,San Jose Sharks,1619.6,1494.7,NA,2026-06-23T21:08:12Z
2016,15,Columbus Blue Jackets,Metropolitan,1487.9,32,45,77,0.416,32-45,Pittsburgh Penguins,1680.7,1502.5,NA,2026-06-23T21:08:12Z
2016,16,Detroit Red Wings,Atlantic,1485.1,40,39,79,0.506,40-39,San Jose Sharks,1619.6,1502.2,NA,2026-06-23T21:08:12Z
2016,17,Buffalo Sabres,Atlantic,1482,33,43,76,0.434,33-43,San Jose Sharks,1619.6,1497.8,NA,2026-06-23T21:08:12Z
2016,18,Ottawa Senators,Atlantic,1480.5,36,40,76,0.474,36-40,San Jose Sharks,1619.6,1498.9,NA,2026-06-23T21:08:12Z
2016,19,Minnesota Wild,Central,1477.5,34,40,74,0.459,34-40,San Jose Sharks,1619.6,1511.8,NA,2026-06-23T21:08:12Z
2016,20,Boston Bruins,Atlantic,1474.2,36,37,73,0.493,36-37,Pittsburgh Penguins,1680.7,1502.4,NA,2026-06-23T21:08:12Z
2016,21,New York Islanders,Metropolitan,1473.2,42,42,84,0.5,42-42,Pittsburgh Penguins,1680.7,1514.3,NA,2026-06-23T21:08:12Z
2016,22,Calgary Flames,Pacific,1469.3,33,41,74,0.446,33-41,Pittsburgh Penguins,1680.7,1496.2,NA,2026-06-23T21:08:12Z
2016,23,New Jersey Devils,Metropolitan,1467.3,36,37,73,0.493,36-37,Pittsburgh Penguins,1680.7,1506.5,NA,2026-06-23T21:08:12Z
2016,24,Montreal Canadiens,Atlantic,1452.5,34,42,76,0.447,34-42,Pittsburgh Penguins,1680.7,1502,NA,2026-06-23T21:08:12Z
2016,25,Carolina Hurricanes,Metropolitan,1431.3,30,39,69,0.435,30-39,Pittsburgh Penguins,1680.7,1518,NA,2026-06-23T21:08:12Z
2016,26,Arizona Coyotes,Central,1424.6,28,41,69,0.406,28-41,Pittsburgh Penguins,1680.7,1498.1,NA,2026-06-23T21:08:12Z
2016,27,Colorado Avalanche,Central,1399,36,42,78,0.462,36-42,San Jose Sharks,1619.6,1509.1,NA,2026-06-23T21:08:12Z
2016,28,Toronto Maple Leafs,Atlantic,1395.4,26,47,73,0.356,26-47,Pittsburgh Penguins,1680.7,1503.7,NA,2026-06-23T21:08:12Z
2016,29,Edmonton Oilers,Pacific,1383.4,27,47,74,0.365,27-47,Pittsburgh Penguins,1680.7,1495.3,NA,2026-06-23T21:08:12Z
2016,30,Vancouver Canucks,Pacific,1331.8,27,47,74,0.365,27-47,San Jose Sharks,1619.6,1500.1,NA,2026-06-23T21:08:12Z
