date,home,away,winner,loser,winner_pts,loser_pts,end_type
2015-10-01,Montreal Canadiens,Ottawa Senators,Ottawa Senators,Montreal Canadiens,5,2,REG
2015-10-01,Tampa Bay Lightning,Dallas Stars,Tampa Bay Lightning,Dallas Stars,3,2,REG
2015-10-02,Minnesota Wild,Buffalo Sabres,Minnesota Wild,Buffalo Sabres,5,1,REG
2015-10-02,St. Louis Blues,Chicago Blackhawks,St. Louis Blues,Chicago Blackhawks,5,2,REG
2015-10-02,Winnipeg Jets,Calgary Flames,Winnipeg Jets,Calgary Flames,3,1,REG
2015-10-02,Edmonton Oilers,Vancouver Canucks,Vancouver Canucks,Edmonton Oilers,5,2,REG
2015-10-02,Anaheim Ducks,Colorado Avalanche,Anaheim Ducks,Colorado Avalanche,3,0,REG
2015-10-02,Buffalo Sabres,Columbus Blue Jackets,Columbus Blue Jackets,Buffalo Sabres,6,4,REG
2015-10-02,Carolina Hurricanes,Pittsburgh Penguins,Carolina Hurricanes,Pittsburgh Penguins,2,1,REG
2015-10-02,New Jersey Devils,Philadelphia Flyers,New Jersey Devils,Philadelphia Flyers,3,2,SO
2015-10-02,Washington Capitals,Boston Bruins,Washington Capitals,Boston Bruins,2,1,SO
2015-10-02,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,4,2,REG
2015-10-03,Arizona Coyotes,San Jose Sharks,San Jose Sharks,Arizona Coyotes,3,0,REG
2015-10-03,Columbus Blue Jackets,Nashville Predators,Columbus Blue Jackets,Nashville Predators,5,1,REG
2015-10-03,Florida Panthers,Tampa Bay Lightning,Tampa Bay Lightning,Florida Panthers,3,2,REG
2015-10-03,Ottawa Senators,Montreal Canadiens,Ottawa Senators,Montreal Canadiens,5,4,REG
2015-10-03,Toronto Maple Leafs,Detroit Red Wings,Detroit Red Wings,Toronto Maple Leafs,2,1,REG
2015-10-04,Chicago Blackhawks,Dallas Stars,Chicago Blackhawks,Dallas Stars,4,0,REG
2015-10-04,Anaheim Ducks,San Jose Sharks,Anaheim Ducks,San Jose Sharks,5,1,REG
2015-10-04,Calgary Flames,Winnipeg Jets,Winnipeg Jets,Calgary Flames,3,2,REG
2015-10-04,Los Angeles Kings,Colorado Avalanche,Los Angeles Kings,Colorado Avalanche,4,0,REG
2015-10-04,Vancouver Canucks,Edmonton Oilers,Vancouver Canucks,Edmonton Oilers,3,2,OT
2015-10-04,Washington Capitals,New York Islanders,Washington Capitals,New York Islanders,6,2,REG
2015-10-07,Toronto Maple Leafs,Montreal Canadiens,Montreal Canadiens,Toronto Maple Leafs,3,1,REG
2015-10-08,Chicago Blackhawks,New York Rangers,New York Rangers,Chicago Blackhawks,3,2,REG
2015-10-08,Calgary Flames,Vancouver Canucks,Vancouver Canucks,Calgary Flames,5,1,REG
2015-10-08,Los Angeles Kings,San Jose Sharks,San Jose Sharks,Los Angeles Kings,5,1,REG
2015-10-08,Boston Bruins,Winnipeg Jets,Winnipeg Jets,Boston Bruins,6,2,REG
2015-10-08,Buffalo Sabres,Ottawa Senators,Ottawa Senators,Buffalo Sabres,3,1,REG
2015-10-08,Tampa Bay Lightning,Philadelphia Flyers,Tampa Bay Lightning,Philadelphia Flyers,3,2,OT
2015-10-09,Nashville Predators,Carolina Hurricanes,Nashville Predators,Carolina Hurricanes,2,1,REG
2015-10-09,St. Louis Blues,Edmonton Oilers,St. Louis Blues,Edmonton Oilers,3,1,REG
2015-10-09,Dallas Stars,Pittsburgh Penguins,Dallas Stars,Pittsburgh Penguins,3,0,REG
2015-10-09,Colorado Avalanche,Minnesota Wild,Minnesota Wild,Colorado Avalanche,5,4,REG
2015-10-09,Columbus Blue Jackets,New York Rangers,New York Rangers,Columbus Blue Jackets,4,2,REG
2015-10-09,New Jersey Devils,Winnipeg Jets,Winnipeg Jets,New Jersey Devils,3,1,REG
2015-10-09,Detroit Red Wings,Toronto Maple Leafs,Detroit Red Wings,Toronto Maple Leafs,4,0,REG
2015-10-09,New York Islanders,Chicago Blackhawks,Chicago Blackhawks,New York Islanders,3,2,OT
2015-10-10,Los Angeles Kings,Arizona Coyotes,Arizona Coyotes,Los Angeles Kings,4,1,REG
2015-10-10,Buffalo Sabres,Tampa Bay Lightning,Tampa Bay Lightning,Buffalo Sabres,4,1,REG
2015-10-10,Carolina Hurricanes,Detroit Red Wings,Detroit Red Wings,Carolina Hurricanes,4,3,REG
2015-10-10,Florida Panthers,Philadelphia Flyers,Florida Panthers,Philadelphia Flyers,5,1,REG
2015-10-10,New York Rangers,Columbus Blue Jackets,New York Rangers,Columbus Blue Jackets,5,2,REG
2015-10-10,Washington Capitals,New Jersey Devils,Washington Capitals,New Jersey Devils,5,3,REG
2015-10-10,Boston Bruins,Montreal Canadiens,Montreal Canadiens,Boston Bruins,4,2,REG
2015-10-10,Toronto Maple Leafs,Ottawa Senators,Ottawa Senators,Toronto Maple Leafs,5,4,SO
2015-10-10,Nashville Predators,Edmonton Oilers,Nashville Predators,Edmonton Oilers,2,0,REG
2015-10-11,Minnesota Wild,St. Louis Blues,Minnesota Wild,St. Louis Blues,3,2,REG
2015-10-11,Chicago Blackhawks,New York Islanders,Chicago Blackhawks,New York Islanders,4,1,REG
2015-10-11,Colorado Avalanche,Dallas Stars,Colorado Avalanche,Dallas Stars,6,3,REG
2015-10-11,Arizona Coyotes,Pittsburgh Penguins,Arizona Coyotes,Pittsburgh Penguins,2,1,REG
2015-10-11,Vancouver Canucks,Calgary Flames,Calgary Flames,Vancouver Canucks,3,2,OT
2015-10-11,San Jose Sharks,Anaheim Ducks,San Jose Sharks,Anaheim Ducks,2,0,REG
2015-10-11,Ottawa Senators,Montreal Canadiens,Montreal Canadiens,Ottawa Senators,3,1,REG
2015-10-12,Boston Bruins,Tampa Bay Lightning,Tampa Bay Lightning,Boston Bruins,6,3,REG
2015-10-12,New York Islanders,Winnipeg Jets,New York Islanders,Winnipeg Jets,4,2,REG
2015-10-12,Buffalo Sabres,Columbus Blue Jackets,Buffalo Sabres,Columbus Blue Jackets,4,2,REG
2015-10-13,Anaheim Ducks,Vancouver Canucks,Vancouver Canucks,Anaheim Ducks,2,1,SO
2015-10-13,Pittsburgh Penguins,Montreal Canadiens,Montreal Canadiens,Pittsburgh Penguins,3,2,REG
2015-10-13,New Jersey Devils,Nashville Predators,Nashville Predators,New Jersey Devils,3,1,REG
2015-10-13,New York Rangers,Winnipeg Jets,Winnipeg Jets,New York Rangers,4,1,REG
2015-10-13,Washington Capitals,San Jose Sharks,San Jose Sharks,Washington Capitals,4,0,REG
2015-10-13,Carolina Hurricanes,Florida Panthers,Florida Panthers,Carolina Hurricanes,4,1,REG
2015-10-13,Detroit Red Wings,Tampa Bay Lightning,Detroit Red Wings,Tampa Bay Lightning,3,1,REG
2015-10-14,Dallas Stars,Edmonton Oilers,Dallas Stars,Edmonton Oilers,4,2,REG
2015-10-14,Calgary Flames,St. Louis Blues,St. Louis Blues,Calgary Flames,4,3,REG
2015-10-14,Los Angeles Kings,Vancouver Canucks,Vancouver Canucks,Los Angeles Kings,3,0,REG
2015-10-14,Columbus Blue Jackets,Ottawa Senators,Ottawa Senators,Columbus Blue Jackets,7,3,REG
2015-10-15,Philadelphia Flyers,Chicago Blackhawks,Philadelphia Flyers,Chicago Blackhawks,3,0,REG
2015-10-15,Colorado Avalanche,Boston Bruins,Boston Bruins,Colorado Avalanche,6,2,REG
