season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,updated_at,draws,country
2020,1,Club Brugge,Pro League,2037.1,21,1,22,0.955,21-1,Charleroi,1714.6,1448.6,2026-05-21T19:19:50Z,7,BEL
2020,2,Celtic,Scottish Premiership,1984.6,26,2,28,0.929,26-2,Rangers,1839.5,1441.7,2026-05-21T19:19:50Z,2,SCO
2020,3,Real Madrid,La Liga,1948.1,26,3,29,0.897,26-3,Barcelona,1777.5,1469.2,2026-05-21T19:19:50Z,9,ESP
2020,4,Paris SG,Ligue 1,1941.7,22,3,25,0.88,22-3,Marseille,1706.6,1488.4,2026-05-21T19:19:50Z,2,FRA
2020,5,Porto,Primeira Liga,1924.5,26,4,30,0.867,26-4,Benfica,1830.1,1489.2,2026-05-21T19:19:50Z,4,POR
2020,6,Bayern Munich,2. Bundesliga,1914.4,26,4,30,0.867,26-4,Dortmund,1720.1,1460.8,2026-05-21T19:19:50Z,4,GER
2020,7,Inter,Serie A,1880,24,4,28,0.857,24-4,Atalanta,1802,1465,2026-05-21T19:19:50Z,10,ITA
2020,8,Liverpool,Premier League,1865,32,3,35,0.914,32-3,Man City,1790,1475.9,2026-05-21T19:19:50Z,3,ENG
2020,9,Rangers,Scottish Premiership,1839.5,21,4,25,0.84,21-4,Celtic,1984.6,1455.1,2026-05-21T19:19:50Z,4,SCO
2020,10,Benfica,Primeira Liga,1830.1,24,5,29,0.828,24-5,Sp Braga,1659.1,1490.5,2026-05-21T19:19:50Z,5,POR
2020,11,Atalanta,Serie A,1802,23,6,29,0.793,23-6,Milan,1738.2,1449.1,2026-05-21T19:19:50Z,9,ITA
2020,12,Man City,Premier League,1790,26,9,35,0.743,26-9,Liverpool,1865,1486.3,2026-05-21T19:19:50Z,3,ENG
2020,13,Barcelona,La Liga,1777.5,25,6,31,0.806,25-6,Ath Madrid,1776.6,1467.5,2026-05-21T19:19:50Z,7,ESP
2020,14,Ath Madrid,La Liga,1776.6,18,4,22,0.818,18-4,Villarreal,1570.9,1471.3,2026-05-21T19:19:50Z,16,ESP
2020,15,Benevento,Serie B,1774.1,26,4,30,0.867,26-4,Crotone,1675.1,1486.1,2026-05-21T19:19:50Z,8,ITA
2020,16,Ajax,Eredivisie,1770.9,18,5,23,0.783,18-5,Feyenoord,1769.3,1471.4,2026-05-21T19:19:50Z,2,NED
2020,17,Feyenoord,Eredivisie,1769.3,14,3,17,0.824,14-3,PSV Eindhoven,1715.1,1476.9,2026-05-21T19:19:50Z,8,NED
2020,18,Trabzonspor,Süper Lig,1768.5,18,5,23,0.783,18-5,Alanyaspor,1636.3,1450.3,2026-05-21T19:19:50Z,11,TUR
2020,19,RB Leipzig,2. Bundesliga,1759.5,18,4,22,0.818,18-4,M'gladbach,1673.4,1434.7,2026-05-21T19:19:50Z,12,GER
2020,20,AZ Alkmaar,Eredivisie,1751.6,18,5,23,0.783,18-5,Ajax,1770.9,1465,2026-05-21T19:19:50Z,2,NED
2020,21,Sevilla,La Liga,1748.6,19,6,25,0.76,19-6,Getafe,1563.4,1483,2026-05-21T19:19:50Z,13,ESP
2020,22,Milan,Serie A,1738.2,19,10,29,0.655,19-10,Juventus,1715.3,1491.5,2026-05-21T19:19:50Z,9,ITA
2020,23,Leeds,Championship,1730.6,28,9,37,0.757,28-9,West Brom,1722.9,1478.4,2026-05-21T19:19:50Z,9,ENG
2020,24,Buyuksehyr,Süper Lig,1730.4,20,5,25,0.8,20-5,Alanyaspor,1636.3,1449.4,2026-05-21T19:19:50Z,9,TUR
2020,25,West Brom,Championship,1722.9,22,7,29,0.759,22-7,Cardiff,1592.4,1477.9,2026-05-21T19:19:50Z,17,ENG
2020,26,Dortmund,2. Bundesliga,1720.1,21,7,28,0.75,21-7,RB Leipzig,1759.5,1499.8,2026-05-21T19:19:50Z,6,GER
2020,27,Juventus,Serie A,1715.3,26,7,33,0.788,26-7,Inter,1880,1482.9,2026-05-21T19:19:50Z,5,ITA
2020,28,PSV Eindhoven,Eredivisie,1715.1,14,5,19,0.737,14-5,Willem II,1598.5,1488.1,2026-05-21T19:19:50Z,7,NED
2020,29,Charleroi,Pro League,1714.6,15,5,20,0.75,15-5,Gent,1701.4,1444.7,2026-05-21T19:19:50Z,9,BEL
2020,30,Brentford,Championship,1706.6,24,13,37,0.649,24-13,West Brom,1722.9,1488.3,2026-05-21T19:19:50Z,9,ENG
2020,31,Marseille,Ligue 1,1706.6,16,4,20,0.8,16-4,Rennes,1653.9,1473.3,2026-05-21T19:19:50Z,8,FRA
2020,32,Lazio,Serie A,1704.9,24,8,32,0.75,24-8,Inter,1880,1478.4,2026-05-21T19:19:50Z,6,ITA
2020,33,Man United,Premier League,1702.9,18,8,26,0.692,18-8,Man City,1790,1469.1,2026-05-21T19:19:50Z,12,ENG
2020,34,Gent,Pro League,1701.4,16,6,22,0.727,16-6,Standard,1562.6,1454.2,2026-05-21T19:19:50Z,7,BEL
2020,35,Crotone,Serie B,1675.1,20,10,30,0.667,20-10,Benevento,1774.1,1490.1,2026-05-21T19:19:50Z,8,ITA
2020,36,M'gladbach,2. Bundesliga,1673.4,20,9,29,0.69,20-9,Bayern Munich,1914.4,1490.1,2026-05-21T19:19:50Z,5,GER
2020,37,Ajaccio,Ligue 2,1663.2,15,6,21,0.714,15-6,Lorient,1628,1464,2026-05-21T19:19:50Z,7,FRA
