season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,draws,country
2026,1,Bayern Munich,2. Bundesliga,2152.2,28,1,29,0.966,28-1,Dortmund,1829.4,1468.9,NA,2026-06-24T10:28:04Z,5,GER
2026,2,Benfica,Primeira Liga,2121.3,23,0,23,1,23-0,Sp Lisbon,2009.4,1418.6,NA,2026-06-24T10:28:04Z,11,POR
2026,3,Sp Lisbon,Primeira Liga,2009.4,25,2,27,0.926,25-2,Famalicao,1613.1,1430.9,NA,2026-06-24T10:28:04Z,7,POR
2026,4,Venezia,Serie B,1923.5,24,4,28,0.857,24-4,Frosinone,1914,1483.6,NA,2026-06-24T10:28:04Z,10,ITA
2026,5,Porto,Primeira Liga,1915.3,28,2,30,0.933,28-2,Sp Lisbon,2009.4,1410.1,NA,2026-06-24T10:28:04Z,4,POR
2026,6,Inter,Serie A,1914.6,27,5,32,0.844,27-5,Como,1751.2,1480.4,NA,2026-06-24T10:28:04Z,6,ITA
2026,7,Frosinone,Serie B,1914,23,3,26,0.885,23-3,Catanzaro,1593.9,1473.2,NA,2026-06-24T10:28:04Z,12,ITA
2026,8,Club Brugge,Pro League,1889.3,28,8,36,0.778,28-8,St. Gilloise,1887.4,1507.8,NA,2026-06-24T10:28:04Z,4,BEL
2026,9,PSV Eindhoven,Eredivisie,1888.2,27,4,31,0.871,27-4,Twente,1719.5,1473.6,NA,2026-06-24T10:28:04Z,3,NED
2026,10,St. Gilloise,Pro League,1887.4,25,4,29,0.862,25-4,Club Brugge,1889.3,1532.1,NA,2026-06-24T10:28:04Z,11,BEL
2026,11,Fenerbahce,Süper Lig,1879.5,21,2,23,0.913,21-2,Trabzonspor,1721.1,1467.3,NA,2026-06-24T10:28:04Z,11,TUR
2026,12,Arsenal,Premier League,1856.7,26,5,31,0.839,26-5,Man United,1769.3,1478,NA,2026-06-24T10:28:04Z,7,ENG
2026,13,Barcelona,La Liga,1836.5,31,6,37,0.838,31-6,Real Madrid,1785,1481.5,NA,2026-06-24T10:28:04Z,1,ESP
2026,14,Dortmund,2. Bundesliga,1829.4,22,5,27,0.815,22-5,Stuttgart,1713.4,1475.4,NA,2026-06-24T10:28:04Z,7,GER
2026,15,Man City,Premier League,1812.5,23,6,29,0.793,23-6,Arsenal,1856.7,1474.1,NA,2026-06-24T10:28:04Z,9,ENG
2026,16,Hearts,Scottish Premiership,1810.5,24,6,30,0.8,24-6,Rangers,1792,1500,NA,2026-06-24T10:28:04Z,8,SCO
2026,17,Coventry,Championship,1803.4,28,7,35,0.8,28-7,Middlesbrough,1671.6,1503.2,NA,2026-06-24T10:28:04Z,11,ENG
2026,18,Rangers,Scottish Premiership,1792,20,6,26,0.769,20-6,Hearts,1810.5,1501.7,NA,2026-06-24T10:28:04Z,12,SCO
2026,19,Galatasaray,Süper Lig,1791.4,24,5,29,0.828,24-5,Fenerbahce,1879.5,1464.2,NA,2026-06-24T10:28:04Z,5,TUR
2026,20,Le Mans,Ligue 2,1791.1,16,4,20,0.8,16-4,Troyes,1716.7,1473,NA,2026-06-24T10:28:04Z,14,FRA
2026,21,Paris SG,Ligue 1,1788.8,24,6,30,0.8,24-6,Lens,1708.8,1472.7,NA,2026-06-24T10:28:04Z,4,FRA
2026,22,Real Madrid,La Liga,1785,27,6,33,0.818,27-6,Barcelona,1836.5,1486.9,NA,2026-06-24T10:28:04Z,5,ESP
2026,23,Celtic,Scottish Premiership,1771.7,26,8,34,0.765,26-8,Hearts,1810.5,1471.2,NA,2026-06-24T10:28:04Z,4,SCO
2026,24,Man United,Premier League,1769.3,20,7,27,0.741,20-7,Arsenal,1856.7,1518,NA,2026-06-24T10:28:04Z,11,ENG
2026,25,Monza,Serie B,1764.9,22,6,28,0.786,22-6,Frosinone,1914,1479,NA,2026-06-24T10:28:04Z,10,ITA
2026,26,Como,Serie A,1751.2,20,7,27,0.741,20-7,Juventus,1724.6,1472.8,NA,2026-06-24T10:28:04Z,11,ITA
2026,27,Juventus,Serie A,1724.6,19,7,26,0.731,19-7,Inter,1914.6,1502.4,NA,2026-06-24T10:28:04Z,12,ITA
2026,28,Trabzonspor,Süper Lig,1721.1,20,5,25,0.8,20-5,Galatasaray,1791.4,1469.2,NA,2026-06-24T10:28:04Z,9,TUR
2026,29,Twente,Eredivisie,1719.5,15,6,21,0.714,15-6,Feyenoord,1669.2,1494.4,NA,2026-06-24T10:28:04Z,13,NED
2026,30,Ipswich,Championship,1717,23,8,31,0.742,23-8,Coventry,1803.4,1470.6,NA,2026-06-24T10:28:04Z,15,ENG
2026,31,Troyes,Ligue 2,1716.7,20,7,27,0.741,20-7,Reims,1693.4,1469.5,NA,2026-06-24T10:28:04Z,7,FRA
2026,32,Stuttgart,2. Bundesliga,1713.4,18,8,26,0.692,18-8,Leverkusen,1654.5,1487.4,NA,2026-06-24T10:28:04Z,8,GER
2026,33,Lens,Ligue 1,1708.8,22,8,30,0.733,22-8,Lille,1640.7,1488.1,NA,2026-06-24T10:28:04Z,4,FRA
2026,34,Palermo,Serie B,1708.4,20,6,26,0.769,20-6,Catanzaro,1593.9,1458,NA,2026-06-24T10:28:04Z,12,ITA
2026,35,Southampton,Championship,1705.8,22,10,32,0.688,22-10,Coventry,1803.4,1462.2,NA,2026-06-24T10:28:04Z,14,ENG
2026,36,Malaga,La Liga 2,1701.7,21,11,32,0.656,21-11,Las Palmas,1645.1,1491.4,NA,2026-06-24T10:28:04Z,10,ESP
2026,37,Reims,Ligue 2,1693.4,14,6,20,0.7,14-6,Le Mans,1791.1,1498.2,NA,2026-06-24T10:28:04Z,14,FRA
2026,38,Buyuksehyr,Süper Lig,1688.9,16,9,25,0.64,16-9,Goztep,1612.4,1498.4,NA,2026-06-24T10:28:04Z,9,TUR
2026,39,Santander,La Liga 2,1683.3,25,10,35,0.714,25-10,Malaga,1701.7,1498.5,NA,2026-06-24T10:28:04Z,7,ESP
2026,40,Roma,Serie A,1682.7,23,11,34,0.676,23-11,Como,1751.2,1470.5,NA,2026-06-24T10:28:04Z,4,ITA
2026,41,Napoli,Serie A,1682.3,23,8,31,0.742,23-8,Inter,1914.6,1473.2,NA,2026-06-24T10:28:04Z,7,ITA
2026,42,Nijmegen,Eredivisie,1680.1,16,7,23,0.696,16-7,PSV Eindhoven,1888.2,1464.1,NA,2026-06-24T10:28:04Z,11,NED
2026,43,Besiktas,Süper Lig,1674.5,17,8,25,0.68,17-8,Buyuksehyr,1688.9,1493.2,NA,2026-06-24T10:28:04Z,9,TUR
2026,44,Middlesbrough,Championship,1671.6,22,10,32,0.688,22-10,Ipswich,1717,1497.4,NA,2026-06-24T10:28:04Z,14,ENG
2026,45,Castellon,La Liga 2,1670.9,20,10,30,0.667,20-10,Malaga,1701.7,1510.5,NA,2026-06-24T10:28:04Z,12,ESP
2026,46,Feyenoord,Eredivisie,1669.2,19,7,26,0.731,19-7,Utrecht,1616.2,1477.9,NA,2026-06-24T10:28:04Z,8,NED
2026,47,Rodez,Ligue 2,1669.2,15,6,21,0.714,15-6,Le Mans,1791.1,1486.5,NA,2026-06-24T10:28:04Z,13,FRA
2026,48,Villarreal,La Liga,1656.5,22,10,32,0.688,22-10,Ath Madrid,1603.5,1501.4,NA,2026-06-24T10:28:04Z,6,ESP
2026,49,Leverkusen,2. Bundesliga,1654.5,17,9,26,0.654,17-9,Dortmund,1829.4,1492.1,NA,2026-06-24T10:28:04Z,8,GER
2026,50,Millwall,Championship,1653.3,24,11,35,0.686,24-11,Southampton,1705.8,1484.2,NA,2026-06-24T10:28:04Z,11,ENG
2026,51,Sp Braga,Primeira Liga,1653,16,7,23,0.696,16-7,Famalicao,1613.1,1432.3,NA,2026-06-24T10:28:04Z,11,POR
2026,52,Ajax,Eredivisie,1652.9,14,6,20,0.7,14-6,Twente,1719.5,1448.2,NA,2026-06-24T10:28:04Z,14,NED
2026,53,Las Palmas,La Liga 2,1645.1,20,9,29,0.69,20-9,Santander,1683.3,1498.8,NA,2026-06-24T10:28:04Z,13,ESP
2026,54,Motherwell,Scottish Premiership,1644.9,16,9,25,0.64,16-9,Rangers,1792,1480.5,NA,2026-06-24T10:28:04Z,13,SCO
2026,55,Lille,Ligue 1,1640.7,18,9,27,0.667,18-9,Lens,1708.8,1509.3,NA,2026-06-24T10:28:04Z,7,FRA
2026,56,St Truiden,Pro League,1639.2,22,13,35,0.629,22-13,Club Brugge,1889.3,1538.7,NA,2026-06-24T10:28:04Z,5,BEL
2026,57,La Coruna,La Liga 2,1638,22,9,31,0.71,22-9,Eibar,1618.4,1482.1,NA,2026-06-24T10:28:04Z,11,ESP
2026,58,St Etienne,Ligue 2,1632.2,18,10,28,0.643,18-10,Troyes,1716.7,1503.2,NA,2026-06-24T10:28:04Z,6,FRA
2026,59,Burgos,La Liga 2,1631,20,10,30,0.667,20-10,Malaga,1701.7,1478.9,NA,2026-06-24T10:28:04Z,12,ESP
2026,60,Betis,La Liga,1629.9,15,8,23,0.652,15-8,Villarreal,1656.5,1499.4,NA,2026-06-24T10:28:04Z,15,ESP
2026,61,RB Leipzig,2. Bundesliga,1627.7,20,9,29,0.69,20-9,Stuttgart,1713.4,1488.4,NA,2026-06-24T10:28:04Z,5,GER
2026,62,Milan,Serie A,1627.1,20,8,28,0.714,20-8,Inter,1914.6,1480.3,NA,2026-06-24T10:28:04Z,10,ITA
2026,63,Rennes,Ligue 1,1624.4,17,9,26,0.654,17-9,Paris SG,1788.8,1520.8,NA,2026-06-24T10:28:04Z,8,FRA
2026,64,Eibar,La Liga 2,1618.4,19,13,32,0.594,19-13,Santander,1683.3,1487.7,NA,2026-06-24T10:28:04Z,10,ESP
2026,65,Lyon,Ligue 1,1617.2,18,10,28,0.643,18-10,Paris SG,1788.8,1504.7,NA,2026-06-24T10:28:04Z,6,FRA
2026,66,Utrecht,Eredivisie,1616.2,15,11,26,0.577,15-11,Twente,1719.5,1516,NA,2026-06-24T10:28:04Z,8,NED
2026,67,Famalicao,Primeira Liga,1613.1,15,8,23,0.652,15-8,Estoril,1452.5,1484.8,NA,2026-06-24T10:28:04Z,11,POR
2026,68,Hibernian,Scottish Premiership,1612.7,15,11,26,0.577,15-11,Hearts,1810.5,1550.9,NA,2026-06-24T10:28:04Z,12,SCO
2026,69,Goztep,Süper Lig,1612.4,14,7,21,0.667,14-7,Buyuksehyr,1688.9,1505.3,NA,2026-06-24T10:28:04Z,13,TUR
2026,70,Bournemouth,Premier League,1608,13,7,20,0.65,13-7,Arsenal,1856.7,1506.2,NA,2026-06-24T10:28:04Z,18,ENG
2026,71,Atalanta,Serie A,1603.5,15,9,24,0.625,15-9,Roma,1682.7,1481.6,NA,2026-06-24T10:28:04Z,14,ITA
2026,72,Ath Madrid,La Liga,1603.5,21,11,32,0.656,21-11,Real Madrid,1785,1502.6,NA,2026-06-24T10:28:04Z,6,ESP
2026,73,Annecy,Ligue 2,1599.6,15,12,27,0.556,15-12,St Etienne,1632.2,1505.8,NA,2026-06-24T10:28:04Z,7,FRA
