season,rank,team,conference,elo,wins,losses,games_played,win_pct,record,best_win_team,best_win_elo,sos,conf_champ,updated_at,draws,country,baseline_elo,baseline_date,elo_change
2027,1,St. Gilloise,Pro League,1968.1,6,0,6,1,6-0,Charleroi,1756.6,1543.1,NA,2026-09-22T11:22:20Z,1,BEL,1937.4,2026-09-17,30.7
2027,2,Porto,Primeira Liga,1962.7,7,0,7,1,7-0,Benfica,1769.3,1491.6,NA,2026-09-22T11:22:20Z,0,POR,1871.3,2026-09-17,91.4
2027,3,Barcelona,La Liga,1950.6,7,0,7,1,7-0,Ath Bilbao,1664.9,1455.6,NA,2026-09-22T11:22:20Z,0,ESP,1848.4,2026-09-17,102.2
2027,4,Castellon,La Liga 2,1884.3,5,0,5,1,5-0,Tenerife,1665.6,1491.1,NA,2026-09-22T11:22:20Z,1,ESP,1772,2026-09-17,112.3
2027,5,AZ Alkmaar,Eredivisie,1868.7,6,0,6,1,6-0,Go Ahead Eagles,1549.7,1412.8,NA,2026-09-22T11:22:20Z,1,NED,1851.4,2026-09-17,17.3
2027,6,PSV Eindhoven,Eredivisie,1839.7,5,1,6,0.833,5-1,Ajax,1737.9,1543.6,NA,2026-09-22T11:22:20Z,1,NED,1920.4,2026-09-17,-80.7
2027,7,Gent,Pro League,1827.6,6,0,6,1,6-0,Club Brugge,1796.1,1382.5,NA,2026-09-22T11:22:20Z,1,BEL,1785.3,2026-09-17,42.3
2027,8,Feyenoord,Eredivisie,1823.7,5,0,5,1,5-0,Utrecht,1368.6,1335.9,NA,2026-09-22T11:22:20Z,2,NED,1789,2026-09-17,34.7
2027,9,Reims,Ligue 2,1815,3,0,3,1,3-0,Red Star,1646.9,1551.4,NA,2026-09-22T11:22:20Z,4,FRA,1805.8,2026-09-17,9.2
2027,10,Roma,Serie A,1807.9,4,0,4,1,4-0,Atalanta,1459.7,1399.5,NA,2026-09-22T11:22:20Z,1,ITA,1500,2026-09-20,307.9
